market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933933,S21_WindowDelta_Purist,NO,1784201689.919305,0.160000,5,1784201699.898366,0.000000,0.003613,-0.803613,delta=-0.0116% at T-10.0s
2938034,S21_WindowDelta_Purist,NO,1784238889.940346,0.110000,5,1784238899.932675,1.000000,0.001318,4.448682,delta=-0.0148% at T-10.0s
2938439,S21_WindowDelta_Purist,NO,1784240089.983287,0.130000,5,1784240099.957255,0.000000,0.002079,-0.652079,delta=-0.0152% at T-10.0s
2942217,S21_WindowDelta_Purist,NO,1784259289.952353,0.110000,5,1784259299.987017,0.000000,0.001318,-0.551318,delta=-0.0489% at T-10.0s
2951651,S21_WindowDelta_Purist,NO,1784324989.897511,0.070000,10,1784324999.892044,0.000000,0.000742,-0.700742,delta=-0.0131% at T-10.0s
2951861,S21_WindowDelta_Purist,NO,1784325589.948738,0.130000,5,1784325599.898577,0.000000,0.002079,-0.652079,delta=-0.0143% at T-9.9s
2952003,S21_WindowDelta_Purist,NO,1784327089.821753,0.110000,5,1784327099.886976,0.000000,0.001318,-0.551318,delta=-0.0056% at T-10.1s
2954332,S21_WindowDelta_Purist,NO,1784336689.971421,0.130000,5,1784336700.001192,0.000000,0.002079,-0.652079,delta=-0.0158% at T-10.0s
2954584,S21_WindowDelta_Purist,NO,1784340589.997879,0.170000,5,1784340599.956548,0.000000,0.004231,-0.854231,delta=-0.0157% at T-10.0s
2954747,S21_WindowDelta_Purist,NO,1784342389.995568,0.120000,5,1784342399.947573,0.000000,0.001673,-0.601673,delta=-0.0190% at T-10.0s
2955224,S21_WindowDelta_Purist,YES,1784345690.033254,0.200000,5,1784345699.992364,0.000000,0.006400,-1.006400,delta=0.0069% at T-10.0s
2956691,S21_WindowDelta_Purist,YES,1784351390.04914,0.140000,5,1784351399.99462,0.000000,0.002537,-0.702537,delta=0.0100% at T-9.9s
2956852,S21_WindowDelta_Purist,YES,1784353789.96304,0.140000,5,1784353799.912675,0.000000,0.002537,-0.702537,delta=0.0117% at T-9.9s
2957123,S21_WindowDelta_Purist,YES,1784358289.958979,0.180000,5,1784358299.898627,0.000000,0.004902,-0.904902,delta=0.0058% at T-9.9s
2957437,S21_WindowDelta_Purist,NO,1784363089.941436,0.200000,5,1784363099.958822,0.000000,0.006400,-1.006400,delta=-0.0167% at T-10.0s
2960316,S21_WindowDelta_Purist,YES,1784391589.856032,0.170000,5,1784391599.906962,0.000000,0.004231,-0.854231,delta=0.0066% at T-10.1s
2961155,S21_WindowDelta_Purist,YES,1784396089.920924,0.120000,5,1784396099.966,1.000000,0.001673,4.398327,delta=0.0132% at T-10.0s
2963268,S21_WindowDelta_Purist,NO,1784404489.930556,0.060000,15,1784404499.903418,0.000000,0.000716,-0.900716,delta=-0.0160% at T-10.0s
2966961,S21_WindowDelta_Purist,NO,1784419789.936782,0.130000,5,1784419799.924126,0.000000,0.002079,-0.652079,delta=-0.0091% at T-10.0s
2971906,S21_WindowDelta_Purist,NO,1784465089.958681,0.200000,5,1784465100.000101,1.000000,0.006400,3.993600,delta=-0.0089% at T-10.0s
