market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933933,S21_WindowDelta_Purist,NO,1784201689.919305,0.160000,5,1784201699.898366,0.000000,0.003613,-0.803613,delta=-0.0116% at T-10.0s
2933981,S21_WindowDelta_Purist,YES,1784201989.97783,0.980000,5,1784201999.989534,1.000000,0.000471,0.099529,delta=0.0178% at T-10.0s
2934344,S21_WindowDelta_Purist,NO,1784203789.950972,0.680000,5,1784203799.905116,0.000000,0.040247,-3.440247,delta=-0.0383% at T-10.0s
2934354,S21_WindowDelta_Purist,NO,1784204089.887103,0.980000,5,1784204099.889787,1.000000,0.000471,0.099529,delta=-0.0182% at T-10.0s
2934361,S21_WindowDelta_Purist,NO,1784204389.867552,0.550000,5,1784204399.9051,0.000000,0.042114,-2.792114,delta=-0.0099% at T-10.0s
2934397,S21_WindowDelta_Purist,NO,1784205290.058532,0.990000,5,1784205299.994984,1.000000,0.000121,0.049879,delta=-0.0318% at T-9.9s
2934577,S21_WindowDelta_Purist,YES,1784207089.988676,0.950000,5,1784207099.947875,1.000000,0.002679,0.247321,delta=0.0098% at T-10.0s
2934623,S21_WindowDelta_Purist,YES,1784207989.902514,0.990000,5,1784207999.954737,1.000000,0.000121,0.049879,delta=0.0080% at T-10.1s
2934777,S21_WindowDelta_Purist,NO,1784209189.984675,0.900000,5,1784209199.984145,1.000000,0.009112,0.490888,delta=-0.0075% at T-10.0s
2934890,S21_WindowDelta_Purist,NO,1784210689.846578,0.990000,5,1784210699.882863,1.000000,0.000121,0.049879,delta=-0.0515% at T-10.0s
2934922,S21_WindowDelta_Purist,YES,1784211290.018866,0.990000,5,1784211299.965166,1.000000,0.000121,0.049879,delta=0.0466% at T-9.9s
2935037,S21_WindowDelta_Purist,YES,1784213089.939597,0.980000,5,1784213099.953344,1.000000,0.000471,0.099529,delta=0.0465% at T-10.0s
2935086,S21_WindowDelta_Purist,NO,1784213989.953227,0.970000,5,1784213999.888917,1.000000,0.001027,0.148973,delta=-0.0357% at T-9.9s
2935252,S21_WindowDelta_Purist,YES,1784216389.996275,0.960000,5,1784216399.959844,1.000000,0.001769,0.198231,delta=0.0377% at T-10.0s
2935273,S21_WindowDelta_Purist,YES,1784216989.89203,0.910000,5,1784216999.951163,1.000000,0.007630,0.442370,delta=0.0182% at T-10.1s
2935293,S21_WindowDelta_Purist,YES,1784217289.985717,0.750000,5,1784217299.997166,0.000000,0.032959,-3.782959,delta=0.0072% at T-10.0s
2935547,S21_WindowDelta_Purist,NO,1784218189.928028,0.490000,5,1784218199.920624,1.000000,0.038251,2.511749,delta=-0.0134% at T-10.0s
2935578,S21_WindowDelta_Purist,NO,1784218790.015057,0.980000,5,1784218799.959224,1.000000,0.000471,0.099529,delta=-0.0466% at T-9.9s
2935583,S21_WindowDelta_Purist,NO,1784219089.903501,0.980000,5,1784219099.930195,1.000000,0.000471,0.099529,delta=-0.0153% at T-10.0s
2936247,S21_WindowDelta_Purist,YES,1784221189.961075,0.840000,5,1784221199.945146,1.000000,0.018967,0.781033,delta=0.0177% at T-10.0s
2936368,S21_WindowDelta_Purist,YES,1784222689.987397,0.810000,5,1784222700.001951,1.000000,0.023981,0.926019,delta=0.0151% at T-10.0s
2936613,S21_WindowDelta_Purist,NO,1784224189.936033,0.970000,5,1784224199.893499,1.000000,0.001027,0.148973,delta=-0.0191% at T-10.0s
