market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2934397,S22_EndcycleThreshold_Sniper,NO,1784205290.058532,0.990000,5,1784205299.994984,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0318% T-9.9s
2934890,S22_EndcycleThreshold_Sniper,NO,1784210689.995543,0.990000,5,1784210699.882863,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0515% T-9.9s
2934922,S22_EndcycleThreshold_Sniper,YES,1784211290.018866,0.990000,5,1784211299.965166,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0466% T-9.9s
2935037,S22_EndcycleThreshold_Sniper,YES,1784213090.066457,0.990000,5,1784213099.953344,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0465% T-9.9s
2935086,S22_EndcycleThreshold_Sniper,NO,1784213989.953227,0.970000,5,1784213999.888917,1.000000,0.001027,0.148973,endcycle snipe ask=0.970 delta=-0.0357% T-9.9s
2935252,S22_EndcycleThreshold_Sniper,YES,1784216389.996275,0.960000,5,1784216399.959844,1.000000,0.001769,0.198231,endcycle snipe ask=0.960 delta=0.0377% T-10.0s
2935578,S22_EndcycleThreshold_Sniper,NO,1784218790.015057,0.980000,5,1784218799.959224,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=-0.0466% T-9.9s
2936747,S22_EndcycleThreshold_Sniper,YES,1784225690.005001,0.990000,5,1784225699.973012,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0329% T-10.0s
2937400,S22_EndcycleThreshold_Sniper,NO,1784229289.952579,0.990000,5,1784229299.909584,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0234% T-10.0s
2937452,S22_EndcycleThreshold_Sniper,NO,1784230490.080747,0.990000,5,1784230499.948483,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0309% T-9.9s
2937905,S22_EndcycleThreshold_Sniper,YES,1784236490.07988,0.990000,5,1784236499.988245,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0276% T-9.9s
2940896,S22_EndcycleThreshold_Sniper,NO,1784243690.044963,0.970000,5,1784243699.923379,1.000000,0.001027,0.148973,endcycle snipe ask=0.970 delta=-0.0289% T-9.9s
2940939,S22_EndcycleThreshold_Sniper,NO,1784244889.922384,0.980000,5,1784244899.911702,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=-0.0458% T-10.0s
2941115,S22_EndcycleThreshold_Sniper,YES,1784247589.963365,0.999000,5,1784247599.906308,1.000000,0.000001,0.004999,endcycle snipe ask=0.999 delta=0.0760% T-9.9s
2941171,S22_EndcycleThreshold_Sniper,NO,1784248790.012905,0.990000,5,1784248800.004192,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0566% T-10.0s
2941612,S22_EndcycleThreshold_Sniper,YES,1784250290.053396,0.995000,5,1784250299.946213,1.000000,0.000031,0.024969,endcycle snipe ask=0.995 delta=0.0847% T-9.9s
2941882,S22_EndcycleThreshold_Sniper,YES,1784253590.032321,0.999000,5,1784253599.93024,1.000000,0.000001,0.004999,endcycle snipe ask=0.999 delta=0.0633% T-9.9s
2941892,S22_EndcycleThreshold_Sniper,YES,1784253890.066647,0.990000,5,1784253899.973774,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0352% T-9.9s
2941937,S22_EndcycleThreshold_Sniper,YES,1784255390.015089,0.980000,5,1784255399.991291,0.000000,0.000471,-4.900471,endcycle snipe ask=0.980 delta=0.0525% T-10.0s
2941965,S22_EndcycleThreshold_Sniper,YES,1784256290.030286,0.990000,5,1784256299.986386,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0448% T-10.0s
2942801,S22_EndcycleThreshold_Sniper,NO,1784262589.920022,0.970000,5,1784262599.905953,1.000000,0.001027,0.148973,endcycle snipe ask=0.970 delta=-0.0280% T-10.0s
2943257,S22_EndcycleThreshold_Sniper,NO,1784264390.023001,0.950000,5,1784264399.986432,1.000000,0.002679,0.247321,endcycle snipe ask=0.950 delta=-0.0204% T-10.0s
2943538,S22_EndcycleThreshold_Sniper,NO,1784266490.073226,0.990000,5,1784266499.966139,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0402% T-9.9s
2945848,S22_EndcycleThreshold_Sniper,YES,1784288089.98644,0.980000,5,1784288099.963026,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=0.0254% T-10.0s
2945881,S22_EndcycleThreshold_Sniper,NO,1784288989.990937,0.990000,5,1784288999.953311,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0256% T-10.0s
2945945,S22_EndcycleThreshold_Sniper,NO,1784290190.02148,0.980000,5,1784290199.987581,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=-0.0206% T-10.0s
2945963,S22_EndcycleThreshold_Sniper,NO,1784290789.997645,0.990000,5,1784290799.931977,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0220% T-9.9s
2945998,S22_EndcycleThreshold_Sniper,NO,1784291390.001901,0.999000,5,1784291399.923981,1.000000,0.000001,0.004999,endcycle snipe ask=0.999 delta=-0.0900% T-9.9s
2946666,S22_EndcycleThreshold_Sniper,YES,1784297690.004254,0.990000,5,1784297699.95034,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=0.0602% T-9.9s
2947062,S22_EndcycleThreshold_Sniper,NO,1784303390.012955,0.980000,5,1784303399.955736,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=-0.0492% T-9.9s
2948585,S22_EndcycleThreshold_Sniper,NO,1784308789.994733,0.990000,5,1784308799.948706,1.000000,0.000121,0.049879,endcycle snipe ask=0.990 delta=-0.0495% T-10.0s
2948701,S22_EndcycleThreshold_Sniper,YES,1784309389.99043,0.980000,5,1784309399.976044,1.000000,0.000471,0.099529,endcycle snipe ask=0.980 delta=0.0450% T-10.0s
