market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S24_TWAP_Reversal,NO,1784200812.831359,0.400000,5,1784201099.960979,0.000000,0.028800,-2.028800,twap_reversal z=6.60 twap=64071.4 ask=0.400
2933923,S24_TWAP_Reversal,YES,1784201112.545025,0.390000,5,1784201399.920989,0.000000,0.027591,-1.977591,twap_reversal z=-76.20 twap=64195.1 ask=0.390
2933933,S24_TWAP_Reversal,YES,1784201429.082576,0.430000,5,1784201699.898366,1.000000,0.032290,2.817710,twap_reversal z=-1.16 twap=64124.6 ask=0.430
2933981,S24_TWAP_Reversal,NO,1784201713.330735,0.400000,5,1784201999.989534,0.000000,0.028800,-2.028800,twap_reversal z=17.53 twap=64139.3 ask=0.400
2934021,S24_TWAP_Reversal,NO,1784202034.625914,0.340000,5,1784202299.922277,0.000000,0.021401,-1.721401,twap_reversal z=5.29 twap=64154.7 ask=0.340
2934041,S24_TWAP_Reversal,YES,1784202314.787424,0.430000,5,1784202599.888569,0.000000,0.032290,-2.182290,twap_reversal z=-2.44 twap=64202.7 ask=0.430
2934049,S24_TWAP_Reversal,NO,1784202613.38562,0.450000,5,1784202899.978167,0.000000,0.034457,-2.284457,twap_reversal z=2.38 twap=64082.4 ask=0.450
2934267,S24_TWAP_Reversal,NO,1784202912.762321,0.410000,5,1784203199.968853,0.000000,0.029989,-2.079989,twap_reversal z=18.12 twap=64154.2 ask=0.410
2934325,S24_TWAP_Reversal,YES,1784203214.146872,0.370000,5,1784203499.906016,0.000000,0.025130,-1.875130,twap_reversal z=-4.77 twap=64192.8 ask=0.370
2934344,S24_TWAP_Reversal,YES,1784203521.947653,0.450000,5,1784203799.905116,1.000000,0.034457,2.715543,twap_reversal z=-8.45 twap=64122.2 ask=0.450
2934354,S24_TWAP_Reversal,YES,1784203828.114287,0.450000,5,1784204099.889787,0.000000,0.034457,-2.284457,twap_reversal z=-8.75 twap=64121.9 ask=0.450
2934361,S24_TWAP_Reversal,YES,1784204113.010587,0.360000,5,1784204399.9051,1.000000,0.023888,3.176112,twap_reversal z=-5.80 twap=64108.4 ask=0.360
2934379,S24_TWAP_Reversal,NO,1784204413.55059,0.370000,5,1784204699.949445,1.000000,0.025130,3.124870,twap_reversal z=5.40 twap=64115.8 ask=0.370
