market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S31_ALIGNED_Mode,YES,1784200839.586626,0.670000,5,1784201099.960979,1.000000,0.040941,1.609059,aligned vel=0.010 delta=0.0236%
2933933,S31_ALIGNED_Mode,NO,1784201495.522814,0.660000,5,1784201699.898366,0.000000,0.041543,-3.341543,aligned vel=-0.070 delta=-0.0298%
2933981,S31_ALIGNED_Mode,YES,1784201825.259411,0.700000,5,1784201999.989534,1.000000,0.038588,1.461413,aligned vel=0.020 delta=0.0418%
2934021,S31_ALIGNED_Mode,YES,1784202040.883491,0.680000,5,1784202299.922277,1.000000,0.040247,1.559753,aligned vel=0.010 delta=0.0207%
2934041,S31_ALIGNED_Mode,NO,1784202445.116846,0.680000,5,1784202599.888569,1.000000,0.040247,1.559753,aligned vel=-0.030 delta=-0.0248%
2934049,S31_ALIGNED_Mode,NO,1784202632.845777,0.600000,5,1784202899.978167,0.000000,0.043200,-3.043200,aligned vel=-0.030 delta=-0.0319%
2934267,S31_ALIGNED_Mode,YES,1784202935.879874,0.630000,5,1784203199.968853,1.000000,0.042789,1.807211,aligned vel=0.010 delta=0.0221%
2934325,S31_ALIGNED_Mode,NO,1784203216.389667,0.640000,5,1784203499.906016,1.000000,0.042467,1.757533,aligned vel=-0.020 delta=-0.0204%
2934344,S31_ALIGNED_Mode,NO,1784203562.805898,0.640000,5,1784203799.905116,0.000000,0.042467,-3.242467,aligned vel=-0.030 delta=-0.0263%
2934354,S31_ALIGNED_Mode,YES,1784203867.009525,0.640000,5,1784204099.889787,0.000000,0.042467,-3.242467,aligned vel=0.030 delta=0.0260%
2934361,S31_ALIGNED_Mode,NO,1784204126.218522,0.700000,5,1784204399.9051,0.000000,0.038588,-3.538588,aligned vel=-0.020 delta=-0.0599%
2934379,S31_ALIGNED_Mode,YES,1784204420.416529,0.660000,5,1784204699.949445,0.000000,0.041543,-3.341543,aligned vel=0.010 delta=0.0249%
2934391,S31_ALIGNED_Mode,YES,1784204804.351275,0.680000,5,1784204999.922375,1.000000,0.040247,1.559753,aligned vel=0.010 delta=0.0209%
2934397,S31_ALIGNED_Mode,YES,1784205010.09782,0.630000,5,1784205299.994984,0.000000,0.042789,-3.192789,aligned vel=0.030 delta=0.0252%
2934490,S31_ALIGNED_Mode,NO,1784205621.948849,0.560000,5,1784205899.915684,1.000000,0.042499,2.157501,aligned vel=-0.020 delta=-0.0215%
2934493,S31_ALIGNED_Mode,NO,1784205920.664675,0.590000,5,1784206199.959226,0.000000,0.043155,-2.993155,aligned vel=-0.010 delta=-0.0270%
2934513,S31_ALIGNED_Mode,YES,1784206279.55762,0.560000,5,1784206499.994437,1.000000,0.042499,2.157501,aligned vel=0.030 delta=0.0321%
2934573,S31_ALIGNED_Mode,NO,1784206527.477778,0.690000,5,1784206799.91893,1.000000,0.039462,1.510538,aligned vel=-0.030 delta=-0.0632%
2934577,S31_ALIGNED_Mode,YES,1784206817.157541,0.640000,5,1784207099.947875,1.000000,0.042467,1.757533,aligned vel=0.010 delta=0.0324%
2934590,S31_ALIGNED_Mode,YES,1784207122.722238,0.600000,5,1784207399.957443,1.000000,0.043200,1.956800,aligned vel=0.010 delta=0.0264%
2934605,S31_ALIGNED_Mode,YES,1784207432.968564,0.670000,5,1784207699.912184,1.000000,0.040941,1.609059,aligned vel=0.010 delta=0.0270%
2934623,S31_ALIGNED_Mode,YES,1784207790.958024,0.670000,5,1784207999.954737,1.000000,0.040941,1.609059,aligned vel=0.010 delta=0.0210%
2934636,S31_ALIGNED_Mode,YES,1784208023.98889,0.650000,5,1784208299.989105,1.000000,0.042052,1.707948,aligned vel=0.010 delta=0.0280%
2934650,S31_ALIGNED_Mode,NO,1784208310.889876,0.640000,5,1784208599.960075,0.000000,0.042467,-3.242467,aligned vel=-0.060 delta=-0.0471%
2934730,S31_ALIGNED_Mode,YES,1784208666.868103,0.550000,5,1784208899.983656,1.000000,0.042114,2.207886,aligned vel=0.010 delta=0.0738%
2934777,S31_ALIGNED_Mode,NO,1784208923.196502,0.600000,5,1784209199.984145,1.000000,0.043200,1.956800,aligned vel=-0.020 delta=-0.0249%
2934814,S31_ALIGNED_Mode,YES,1784209209.216472,0.610000,5,1784209499.996363,0.000000,0.043155,-3.093155,aligned vel=0.010 delta=0.0360%
2934831,S31_ALIGNED_Mode,YES,1784209513.811054,0.650000,5,1784209799.95927,1.000000,0.042052,1.707948,aligned vel=0.020 delta=0.0555%
2934863,S31_ALIGNED_Mode,YES,1784209821.274028,0.590000,5,1784210099.925036,1.000000,0.043155,2.006845,aligned vel=0.030 delta=0.0233%
2934877,S31_ALIGNED_Mode,NO,1784210110.063865,0.600000,5,1784210399.959285,0.000000,0.043200,-3.043200,aligned vel=-0.010 delta=-0.0244%
2934890,S31_ALIGNED_Mode,YES,1784210412.489776,0.610000,5,1784210699.882863,0.000000,0.043155,-3.093155,aligned vel=0.010 delta=0.0543%
2934906,S31_ALIGNED_Mode,YES,1784210709.409369,0.640000,5,1784210999.90861,1.000000,0.042467,1.757533,aligned vel=0.030 delta=0.0358%
2934922,S31_ALIGNED_Mode,NO,1784211033.640555,0.540000,5,1784211299.965166,0.000000,0.041649,-2.741649,aligned vel=-0.030 delta=-0.0243%
2934932,S31_ALIGNED_Mode,NO,1784211316.582993,0.690000,5,1784211600.000436,0.000000,0.039462,-3.489462,aligned vel=-0.010 delta=-0.0634%
2934949,S31_ALIGNED_Mode,NO,1784211609.281557,0.620000,5,1784211899.981149,1.000000,0.043018,1.856982,aligned vel=-0.010 delta=-0.0272%
2934961,S31_ALIGNED_Mode,NO,1784211908.86508,0.650000,5,1784212199.944591,0.000000,0.042052,-3.292052,aligned vel=-0.010 delta=-0.0560%
