market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2934361,S33_MACD_RSI_VWAP_Stack,NO,1784204223.95684,0.720000,5,1784204399.9051,0.000000,0.036578,-3.636578,macd_rsi_vwap hist=-0.004 rsi=43.1
2934379,S33_MACD_RSI_VWAP_Stack,YES,1784204426.994321,0.660000,5,1784204699.949445,0.000000,0.041543,-3.341543,macd_rsi_vwap hist=0.002 rsi=56.0
2934650,S33_MACD_RSI_VWAP_Stack,NO,1784208403.360559,0.630000,5,1784208599.960075,0.000000,0.042789,-3.192789,macd_rsi_vwap hist=-0.003 rsi=41.5
2934777,S33_MACD_RSI_VWAP_Stack,YES,1784208972.102131,0.650000,5,1784209199.984145,0.000000,0.042052,-3.292052,macd_rsi_vwap hist=0.000 rsi=51.7
2934877,S33_MACD_RSI_VWAP_Stack,NO,1784210136.904694,0.530000,5,1784210399.959285,0.000000,0.041109,-2.691109,macd_rsi_vwap hist=-0.000 rsi=48.5
2934890,S33_MACD_RSI_VWAP_Stack,YES,1784210422.234975,0.650000,5,1784210699.882863,0.000000,0.042052,-3.292052,macd_rsi_vwap hist=0.003 rsi=59.7
2934932,S33_MACD_RSI_VWAP_Stack,NO,1784211336.360815,0.610000,5,1784211600.000436,0.000000,0.043155,-3.093155,macd_rsi_vwap hist=-0.001 rsi=47.2
2934977,S33_MACD_RSI_VWAP_Stack,YES,1784212216.96093,0.610000,5,1784212499.981085,0.000000,0.043155,-3.093155,macd_rsi_vwap hist=0.000 rsi=59.7
2935087,S33_MACD_RSI_VWAP_Stack,YES,1784214010.692936,0.560000,5,1784214299.861777,0.000000,0.042499,-2.842499,macd_rsi_vwap hist=0.001 rsi=50.1
2935273,S33_MACD_RSI_VWAP_Stack,NO,1784216789.761445,0.700000,5,1784216999.951163,0.000000,0.038588,-3.538588,macd_rsi_vwap hist=-0.000 rsi=47.8
2935293,S33_MACD_RSI_VWAP_Stack,YES,1784217073.186408,0.610000,5,1784217299.997166,0.000000,0.043155,-3.093155,macd_rsi_vwap hist=0.001 rsi=56.4
2935547,S33_MACD_RSI_VWAP_Stack,NO,1784217971.108648,0.620000,5,1784218199.920624,1.000000,0.043018,1.856982,macd_rsi_vwap hist=-0.000 rsi=41.1
2935671,S33_MACD_RSI_VWAP_Stack,YES,1784220060.523053,0.700000,5,1784220299.926822,0.000000,0.038588,-3.538588,macd_rsi_vwap hist=0.002 rsi=55.0
2936522,S33_MACD_RSI_VWAP_Stack,NO,1784222810.276695,0.600000,5,1784222999.914208,0.000000,0.043200,-3.043200,macd_rsi_vwap hist=-0.007 rsi=43.4
2937400,S33_MACD_RSI_VWAP_Stack,YES,1784229148.763994,0.750000,5,1784229299.909584,0.000000,0.032959,-3.782959,macd_rsi_vwap hist=0.004 rsi=56.6
2937426,S33_MACD_RSI_VWAP_Stack,YES,1784229729.726927,0.750000,5,1784229899.928387,0.000000,0.032959,-3.782959,macd_rsi_vwap hist=0.002 rsi=58.1
2937452,S33_MACD_RSI_VWAP_Stack,YES,1784230246.240247,0.660000,5,1784230499.948483,0.000000,0.041543,-3.341543,macd_rsi_vwap hist=0.003 rsi=52.8
2937751,S33_MACD_RSI_VWAP_Stack,NO,1784233876.947238,0.620000,5,1784234099.896142,0.000000,0.043018,-3.143018,macd_rsi_vwap hist=-0.000 rsi=43.8
2938439,S33_MACD_RSI_VWAP_Stack,NO,1784240068.64159,0.560000,5,1784240099.957255,0.000000,0.042499,-2.842499,macd_rsi_vwap hist=-0.008 rsi=47.8
2938471,S33_MACD_RSI_VWAP_Stack,YES,1784240821.072013,0.630000,5,1784240999.94863,0.000000,0.042789,-3.192789,macd_rsi_vwap hist=0.002 rsi=54.1
2940872,S33_MACD_RSI_VWAP_Stack,YES,1784242871.548571,0.730000,5,1784243100.005045,0.000000,0.035449,-3.685449,macd_rsi_vwap hist=0.000 rsi=50.4
2940939,S33_MACD_RSI_VWAP_Stack,YES,1784244676.711134,0.730000,5,1784244899.911702,0.000000,0.035449,-3.685449,macd_rsi_vwap hist=0.000 rsi=58.6
2940986,S33_MACD_RSI_VWAP_Stack,YES,1784244946.97282,0.680000,5,1784245199.984047,0.000000,0.040247,-3.440247,macd_rsi_vwap hist=0.002 rsi=55.8
2941006,S33_MACD_RSI_VWAP_Stack,NO,1784245610.856546,0.510000,5,1784245800.000239,0.000000,0.039812,-2.589812,macd_rsi_vwap hist=-0.000 rsi=46.2
2941892,S33_MACD_RSI_VWAP_Stack,NO,1784253783.325116,0.650000,5,1784253899.973774,0.000000,0.042052,-3.292052,macd_rsi_vwap hist=-0.005 rsi=40.2
2941907,S33_MACD_RSI_VWAP_Stack,YES,1784253968.121207,0.640000,5,1784254199.965999,0.000000,0.042467,-3.242467,macd_rsi_vwap hist=0.002 rsi=50.3
2941923,S33_MACD_RSI_VWAP_Stack,YES,1784254617.624802,0.660000,5,1784254800.003201,0.000000,0.041543,-3.341543,macd_rsi_vwap hist=0.004 rsi=55.8
2941944,S33_MACD_RSI_VWAP_Stack,YES,1784255569.303349,0.620000,5,1784255699.90623,0.000000,0.043018,-3.143018,macd_rsi_vwap hist=0.002 rsi=58.0
2941965,S33_MACD_RSI_VWAP_Stack,NO,1784256018.470717,0.560000,5,1784256299.986386,0.000000,0.042499,-2.842499,macd_rsi_vwap hist=-0.000 rsi=48.4
