market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2934267,S35_5m_Lead_15m_Entry,YES,1784203057.884356,0.730000,5,1784203199.968853,1.000000,0.035449,1.314551,5m_lead lead_move=0.210 confirm=0.040
2934590,S35_5m_Lead_15m_Entry,YES,1784207223.787347,0.740000,5,1784207399.957443,1.000000,0.034241,1.265759,5m_lead lead_move=0.150 confirm=0.080
2934730,S35_5m_Lead_15m_Entry,YES,1784208725.293218,0.630000,5,1784208899.983656,1.000000,0.042789,1.807211,5m_lead lead_move=0.170 confirm=0.010
2934877,S35_5m_Lead_15m_Entry,YES,1784210220.39289,0.700000,5,1784210399.959285,1.000000,0.038588,1.461413,5m_lead lead_move=0.190 confirm=0.010
2935124,S35_5m_Lead_15m_Entry,YES,1784214720.410697,0.720000,5,1784214899.918153,0.000000,0.036578,-3.636578,5m_lead lead_move=0.150 confirm=0.010
2935166,S35_5m_Lead_15m_Entry,YES,1784215021.051883,0.680000,5,1784215199.919174,1.000000,0.040247,1.559753,5m_lead lead_move=0.100 confirm=0.010
2935691,S35_5m_Lead_15m_Entry,YES,1784220463.660454,0.730000,5,1784220599.982654,1.000000,0.035449,1.314551,5m_lead lead_move=0.040 confirm=0.160
2936346,S35_5m_Lead_15m_Entry,YES,1784222223.923668,0.730000,5,1784222399.987714,1.000000,0.035449,1.314551,5m_lead lead_move=0.180 confirm=0.010
2936676,S35_5m_Lead_15m_Entry,YES,1784225223.626173,0.720000,5,1784225399.923713,1.000000,0.036578,1.363422,5m_lead lead_move=0.150 confirm=0.050
2936747,S35_5m_Lead_15m_Entry,YES,1784225520.230555,0.710000,5,1784225699.973012,1.000000,0.037625,1.412375,5m_lead lead_move=0.190 confirm=0.010
2936791,S35_5m_Lead_15m_Entry,YES,1784225824.419038,0.730000,5,1784225999.91878,1.000000,0.035449,1.314551,5m_lead lead_move=0.230 confirm=0.010
2937993,S35_5m_Lead_15m_Entry,YES,1784237826.2597,0.720000,5,1784238000.002433,1.000000,0.036578,1.363422,5m_lead lead_move=0.210 confirm=0.130
2940939,S35_5m_Lead_15m_Entry,YES,1784244721.850165,0.750000,5,1784244899.911702,0.000000,0.032959,-3.782959,5m_lead lead_move=0.170 confirm=0.040
2941612,S35_5m_Lead_15m_Entry,YES,1784250124.176905,0.710000,5,1784250299.946213,1.000000,0.037625,1.412375,5m_lead lead_move=0.160 confirm=0.040
2941837,S35_5m_Lead_15m_Entry,YES,1784252226.457553,0.750000,5,1784252399.988258,1.000000,0.032959,1.217041,5m_lead lead_move=0.060 confirm=0.010
2941907,S35_5m_Lead_15m_Entry,YES,1784254022.985618,0.700000,5,1784254199.965999,0.000000,0.038588,-3.538588,5m_lead lead_move=0.140 confirm=0.030
2941923,S35_5m_Lead_15m_Entry,YES,1784254620.152461,0.690000,5,1784254800.003201,0.000000,0.039462,-3.489462,5m_lead lead_move=0.140 confirm=0.010
2941937,S35_5m_Lead_15m_Entry,YES,1784255224.335323,0.710000,5,1784255399.991291,0.000000,0.037625,-3.587625,5m_lead lead_move=0.070 confirm=0.130
2941944,S35_5m_Lead_15m_Entry,YES,1784255574.372348,0.730000,5,1784255699.90623,0.000000,0.035449,-3.685449,5m_lead lead_move=0.100 confirm=0.120
2942867,S35_5m_Lead_15m_Entry,YES,1784263356.214957,0.750000,5,1784263499.998926,1.000000,0.032959,1.217041,5m_lead lead_move=0.090 confirm=0.170
2945881,S35_5m_Lead_15m_Entry,YES,1784288865.287636,0.740000,5,1784288999.953311,0.000000,0.034241,-3.734241,5m_lead lead_move=0.190 confirm=0.070
2946090,S35_5m_Lead_15m_Entry,YES,1784292445.82446,0.720000,5,1784292599.893973,0.000000,0.036578,-3.636578,5m_lead lead_move=0.120 confirm=0.020
2946223,S35_5m_Lead_15m_Entry,YES,1784294823.261807,0.650000,5,1784295000.005894,0.000000,0.042052,-3.292052,5m_lead lead_move=0.140 confirm=0.010
2946230,S35_5m_Lead_15m_Entry,YES,1784295120.34844,0.750000,5,1784295299.982951,0.000000,0.032959,-3.782959,5m_lead lead_move=0.230 confirm=0.010
2946425,S35_5m_Lead_15m_Entry,YES,1784296032.963011,0.690000,5,1784296199.956958,1.000000,0.039462,1.510538,5m_lead lead_move=0.170 confirm=0.010
2946460,S35_5m_Lead_15m_Entry,YES,1784296320.499895,0.660000,5,1784296499.95677,1.000000,0.041543,1.658457,5m_lead lead_move=0.150 confirm=0.010
2946540,S35_5m_Lead_15m_Entry,YES,1784296921.292163,0.700000,5,1784297099.937954,1.000000,0.038588,1.461413,5m_lead lead_move=0.190 confirm=0.020
2946666,S35_5m_Lead_15m_Entry,YES,1784297520.527905,0.700000,5,1784297699.95034,1.000000,0.038588,1.461413,5m_lead lead_move=0.250 confirm=0.010
2946686,S35_5m_Lead_15m_Entry,YES,1784297820.897089,0.690000,5,1784297999.896367,0.000000,0.039462,-3.489462,5m_lead lead_move=0.230 confirm=0.010
2946696,S35_5m_Lead_15m_Entry,YES,1784298126.000148,0.640000,5,1784298299.9921,0.000000,0.042467,-3.242467,5m_lead lead_move=0.080 confirm=0.080
2946899,S35_5m_Lead_15m_Entry,YES,1784300220.703713,0.680000,5,1784300399.940893,1.000000,0.040247,1.559753,5m_lead lead_move=0.160 confirm=0.010
2946950,S35_5m_Lead_15m_Entry,YES,1784301420.603589,0.710000,5,1784301599.900326,1.000000,0.037625,1.412375,5m_lead lead_move=0.150 confirm=0.020
2946954,S35_5m_Lead_15m_Entry,YES,1784301720.780526,0.750000,5,1784301899.989146,1.000000,0.032959,1.217041,5m_lead lead_move=0.220 confirm=0.020
2946966,S35_5m_Lead_15m_Entry,YES,1784302020.824383,0.700000,5,1784302199.949345,1.000000,0.038588,1.461413,5m_lead lead_move=0.180 confirm=0.010
2947037,S35_5m_Lead_15m_Entry,YES,1784302620.853973,0.650000,5,1784302799.95453,1.000000,0.042052,1.707948,5m_lead lead_move=0.110 confirm=0.030
2947068,S35_5m_Lead_15m_Entry,YES,1784303529.467084,0.710000,5,1784303700.005332,1.000000,0.037625,1.412375,5m_lead lead_move=0.180 confirm=0.010
2948585,S35_5m_Lead_15m_Entry,YES,1784308622.610963,0.720000,5,1784308799.948706,0.000000,0.036578,-3.636578,5m_lead lead_move=0.210 confirm=0.040
2948603,S35_5m_Lead_15m_Entry,YES,1784308920.662771,0.740000,5,1784309099.911053,1.000000,0.034241,1.265759,5m_lead lead_move=0.220 confirm=0.020
2948701,S35_5m_Lead_15m_Entry,YES,1784309222.592018,0.660000,5,1784309399.976044,1.000000,0.041543,1.658457,5m_lead lead_move=0.080 confirm=0.100
2948769,S35_5m_Lead_15m_Entry,YES,1784310128.198184,0.680000,5,1784310299.998746,0.000000,0.040247,-3.440247,5m_lead lead_move=0.040 confirm=0.150
2950956,S35_5m_Lead_15m_Entry,YES,1784317045.597776,0.740000,5,1784317199.93693,1.000000,0.034241,1.265759,5m_lead lead_move=0.110 confirm=0.120
2951103,S35_5m_Lead_15m_Entry,YES,1784319724.643047,0.740000,5,1784319899.984519,1.000000,0.034241,1.265759,5m_lead lead_move=0.220 confirm=0.010
2951977,S35_5m_Lead_15m_Entry,YES,1784326323.708702,0.600000,5,1784326499.955266,1.000000,0.043200,1.956800,5m_lead lead_move=0.060 confirm=0.020
2954460,S35_5m_Lead_15m_Entry,YES,1784338642.461619,0.750000,5,1784338799.950557,1.000000,0.032959,1.217041,5m_lead lead_move=0.130 confirm=0.110
2959393,S35_5m_Lead_15m_Entry,YES,1784385145.60413,0.750000,5,1784385299.955775,1.000000,0.032959,1.217041,5m_lead lead_move=0.130 confirm=0.140
