market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S43_Bollinger_RSI_Reversal,NO,1784200803.416562,0.500000,5,1784201099.960979,0.000000,0.039062,-2.539062,"bb_rsi_reversal side=NO spot=64071.25 bb=(64070.25,64071.11) rsi=100.0"
2933923,S43_Bollinger_RSI_Reversal,YES,1784201105.485291,0.410000,5,1784201399.920989,0.000000,0.029989,-2.079989,"bb_rsi_reversal side=YES spot=64195.28 bb=(64198.05,64202.75) rsi=0.0"
2933933,S43_Bollinger_RSI_Reversal,YES,1784201405.484569,0.460000,5,1784201699.898366,1.000000,0.035479,2.664521,"bb_rsi_reversal side=YES spot=64125.11 bb=(64125.13,64125.31) rsi=0.0"
2933981,S43_Bollinger_RSI_Reversal,NO,1784201703.654579,0.500000,5,1784201999.989534,0.000000,0.039062,-2.539062,"bb_rsi_reversal side=NO spot=64134.21 bb=(64132.57,64133.63) rsi=100.0"
2934041,S43_Bollinger_RSI_Reversal,YES,1784202303.688568,0.390000,5,1784202599.888569,0.000000,0.027591,-1.977591,"bb_rsi_reversal side=YES spot=64203.60 bb=(64205.80,64209.54) rsi=0.0"
2934267,S43_Bollinger_RSI_Reversal,NO,1784202903.152278,0.520000,5,1784203199.968853,0.000000,0.040495,-2.640495,"bb_rsi_reversal side=NO spot=64147.46 bb=(64147.05,64147.42) rsi=100.0"
2934325,S43_Bollinger_RSI_Reversal,YES,1784203211.006978,0.360000,5,1784203499.906016,0.000000,0.023888,-1.823888,"bb_rsi_reversal side=YES spot=64189.43 bb=(64192.25,64197.04) rsi=0.0"
2934344,S43_Bollinger_RSI_Reversal,NO,1784203505.060593,0.400000,5,1784203799.905116,0.000000,0.028800,-2.028800,"bb_rsi_reversal side=NO spot=64125.16 bb=(64115.04,64121.42) rsi=100.0"
2934354,S43_Bollinger_RSI_Reversal,YES,1784203805.075453,0.480000,5,1784204099.889787,0.000000,0.037380,-2.437380,"bb_rsi_reversal side=YES spot=64120.66 bb=(64122.05,64124.43) rsi=4.8"
2934361,S43_Bollinger_RSI_Reversal,NO,1784204104.091939,0.520000,5,1784204399.9051,0.000000,0.040495,-2.640495,"bb_rsi_reversal side=NO spot=64109.70 bb=(64109.60,64109.66) rsi=100.0"
2934379,S43_Bollinger_RSI_Reversal,YES,1784204407.206012,0.520000,5,1784204699.949445,0.000000,0.040495,-2.640495,"bb_rsi_reversal side=YES spot=64114.58 bb=(64114.97,64115.62) rsi=0.0"
2934397,S43_Bollinger_RSI_Reversal,NO,1784205004.229921,0.370000,5,1784205299.994984,1.000000,0.025130,3.124870,"bb_rsi_reversal side=NO spot=64149.52 bb=(64131.68,64142.99) rsi=93.6"
2934447,S43_Bollinger_RSI_Reversal,YES,1784205306.420517,0.480000,5,1784205599.890878,0.000000,0.037380,-2.437380,"bb_rsi_reversal side=YES spot=64106.76 bb=(64107.10,64107.67) rsi=0.0"
2934490,S43_Bollinger_RSI_Reversal,NO,1784205610.386051,0.500000,5,1784205899.915684,1.000000,0.039062,2.460938,"bb_rsi_reversal side=NO spot=63920.88 bb=(63920.80,63920.85) rsi=100.0"
