market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933933,S51_OrderBook_Imbalance,NO,1784201694.77408,0.110000,5,1784201699.898366,0.000000,0.001318,-0.551318,imbalance_ratio=3.67
2934344,S51_OrderBook_Imbalance,NO,1784203795.541927,0.570000,5,1784203799.905116,0.000000,0.042803,-2.892803,imbalance_ratio=3.56
2938439,S51_OrderBook_Imbalance,NO,1784240091.606199,0.200000,5,1784240099.957255,0.000000,0.006400,-1.006400,imbalance_ratio=2.50
2942217,S51_OrderBook_Imbalance,NO,1784259283.31598,0.650000,5,1784259299.987017,0.000000,0.042052,-3.292052,imbalance_ratio=3.10
2947461,S51_OrderBook_Imbalance,YES,1784304897.316643,0.330000,5,1784304899.99983,1.000000,0.020165,3.329835,imbalance_ratio=3.30
2951166,S51_OrderBook_Imbalance,YES,1784320194.804815,0.420000,5,1784320199.932774,0.000000,0.031154,-2.131154,imbalance_ratio=3.82
2951651,S51_OrderBook_Imbalance,NO,1784324991.286183,0.100000,5,1784324999.892044,0.000000,0.001013,-0.501012,imbalance_ratio=2.50
2951861,S51_OrderBook_Imbalance,NO,1784325587.578166,0.230000,5,1784325599.898577,0.000000,0.009017,-1.159017,imbalance_ratio=2.56
2953311,S51_OrderBook_Imbalance,NO,1784329195.10963,0.100000,5,1784329199.903404,1.000000,0.001013,4.498988,imbalance_ratio=3.33
2954480,S51_OrderBook_Imbalance,YES,1784339391.380459,0.300000,5,1784339399.946189,0.000000,0.016537,-1.516538,imbalance_ratio=2.73
2954584,S51_OrderBook_Imbalance,NO,1784340592.654425,0.050000,15,1784340599.956548,0.000000,0.000423,-0.750423,imbalance_ratio=2.50
2954945,S51_OrderBook_Imbalance,NO,1784343285.193128,0.590000,5,1784343299.979466,1.000000,0.043155,2.006845,imbalance_ratio=2.57
2955347,S51_OrderBook_Imbalance,NO,1784346593.866689,0.550000,5,1784346599.963912,0.000000,0.042114,-2.792114,imbalance_ratio=2.75
2957595,S51_OrderBook_Imbalance,NO,1784365190.814058,0.160000,5,1784365199.899516,0.000000,0.003613,-0.803613,imbalance_ratio=3.20
2959437,S51_OrderBook_Imbalance,NO,1784385594.809344,0.280000,5,1784385599.943401,0.000000,0.014225,-1.414225,imbalance_ratio=2.80
2960475,S51_OrderBook_Imbalance,NO,1784393552.142298,0.400000,5,1784393699.978383,0.000000,0.028800,-2.028800,imbalance_ratio=2.86
2961155,S51_OrderBook_Imbalance,YES,1784396072.732836,0.360000,5,1784396099.966,1.000000,0.023888,3.176112,imbalance_ratio=2.77
2963568,S51_OrderBook_Imbalance,NO,1784408696.581511,0.220000,5,1784408699.987335,0.000000,0.008098,-1.108098,imbalance_ratio=3.14
2967037,S51_OrderBook_Imbalance,NO,1784420690.757331,0.310000,5,1784420699.927642,1.000000,0.017729,3.432271,imbalance_ratio=2.82
2968107,S51_OrderBook_Imbalance,NO,1784429397.111999,0.460000,5,1784429399.981543,0.000000,0.035479,-2.335479,imbalance_ratio=4.18
2970433,S51_OrderBook_Imbalance,YES,1784447686.053146,0.260000,5,1784447699.930474,0.000000,0.012031,-1.312031,imbalance_ratio=2.60
2974411,S51_OrderBook_Imbalance,NO,1784485495.87192,0.310000,5,1784485499.891081,0.000000,0.017729,-1.567729,imbalance_ratio=3.10
2985710,S51_OrderBook_Imbalance,NO,1784531992.721378,0.530000,5,1784531999.941135,1.000000,0.041109,2.308891,imbalance_ratio=3.31
