market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S52_Liquidity_Momentum,YES,1784200814.485597,0.640000,5,1784200815.21533,0.630000,0.042467,-0.092467,liquidity_momentum side=YES infl=0.0400 thr=0.0100 ask=0.640 delta=0.0108%
2933923,S52_Liquidity_Momentum,NO,1784201126.382241,0.620000,5,1784201127.68476,0.610000,0.043018,-0.093018,liquidity_momentum side=NO infl=-0.0600 thr=0.0100 ask=0.620 delta=-0.0150%
2933933,S52_Liquidity_Momentum,NO,1784201407.409094,0.480000,5,1784201410.496207,0.450000,0.037380,-0.187380,liquidity_momentum side=NO infl=-0.1000 thr=0.0100 ask=0.480 delta=-0.0114%
2933981,S52_Liquidity_Momentum,YES,1784201708.627788,0.610000,5,1784201710.689454,0.610000,0.043155,-0.043155,liquidity_momentum side=YES infl=0.1500 thr=0.0145 ask=0.610 delta=0.0143%
2934021,S52_Liquidity_Momentum,YES,1784202023.091624,0.530000,5,1784202025.094255,0.540000,0.041109,0.008891,liquidity_momentum side=YES infl=0.0100 thr=0.0100 ask=0.530 delta=0.0110%
2934041,S52_Liquidity_Momentum,NO,1784202445.116846,0.680000,5,1784202446.592462,0.660000,0.040247,-0.140247,liquidity_momentum side=NO infl=-0.0700 thr=0.0400 ask=0.680 delta=-0.0248%
2934049,S52_Liquidity_Momentum,YES,1784202601.765793,0.550000,5,1784202604.854733,0.590000,0.042114,0.157886,liquidity_momentum side=YES infl=0.0700 thr=0.0235 ask=0.550 delta=0.0123%
2934267,S52_Liquidity_Momentum,YES,1784202907.353388,0.590000,5,1784202909.312387,0.590000,0.043155,-0.043155,liquidity_momentum side=YES infl=0.0300 thr=0.0290 ask=0.590 delta=0.0112%
2934325,S52_Liquidity_Momentum,NO,1784203212.911438,0.640000,5,1784203214.301786,0.630000,0.042467,-0.092467,liquidity_momentum side=NO infl=-0.0100 thr=0.0100 ask=0.640 delta=-0.0173%
2934344,S52_Liquidity_Momentum,YES,1784203505.060593,0.610000,5,1784203507.006805,0.630000,0.043155,0.056845,liquidity_momentum side=YES infl=0.0700 thr=0.0600 ask=0.610 delta=0.0134%
2934354,S52_Liquidity_Momentum,YES,1784203838.834301,0.540000,5,1784203840.293925,0.530000,0.041649,-0.091649,liquidity_momentum side=YES infl=0.0400 thr=0.0100 ask=0.540 delta=0.0107%
