market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S55_RapidProbability_ChangeChase,YES,1784200844.596388,0.720000,5,1784200845.59693,0.720000,0.036578,-0.036578,prob_change_chase side=YES change=0.050 origin=0.670 ask=0.720
2933923,S55_RapidProbability_ChangeChase,NO,1784201135.494208,0.600000,5,1784201142.350368,0.660000,0.043200,0.256800,prob_change_chase side=NO change=-0.040 origin=0.640 ask=0.600
2933933,S55_RapidProbability_ChangeChase,YES,1784201446.245384,0.610000,5,1784201454.553572,0.570000,0.043155,-0.243155,prob_change_chase side=YES change=0.040 origin=0.570 ask=0.610
2933981,S55_RapidProbability_ChangeChase,YES,1784201708.993367,0.610000,5,1784201715.213897,0.570000,0.043155,-0.243155,prob_change_chase side=YES change=0.050 origin=0.560 ask=0.610
2934021,S55_RapidProbability_ChangeChase,YES,1784202033.288899,0.660000,5,1784202041.257908,0.670000,0.041543,0.008457,prob_change_chase side=YES change=0.050 origin=0.610 ask=0.660
2934041,S55_RapidProbability_ChangeChase,NO,1784202445.257707,0.670000,5,1784202447.633294,0.640000,0.040941,-0.190941,prob_change_chase side=NO change=-0.050 origin=0.720 ask=0.670
2934049,S55_RapidProbability_ChangeChase,YES,1784202601.765793,0.550000,5,1784202605.004359,0.580000,0.042114,0.107886,prob_change_chase side=YES change=0.050 origin=0.500 ask=0.550
2934267,S55_RapidProbability_ChangeChase,YES,1784202945.250092,0.620000,5,1784202950.83909,0.570000,0.043018,-0.293018,prob_change_chase side=YES change=0.040 origin=0.580 ask=0.620
2934325,S55_RapidProbability_ChangeChase,NO,1784203217.269637,0.620000,5,1784203225.926623,0.620000,0.043018,-0.043018,prob_change_chase side=NO change=-0.040 origin=0.660 ask=0.620
2934344,S55_RapidProbability_ChangeChase,YES,1784203505.060593,0.610000,5,1784203509.291498,0.580000,0.043155,-0.193155,prob_change_chase side=YES change=0.040 origin=0.570 ask=0.610
2934354,S55_RapidProbability_ChangeChase,YES,1784203863.314769,0.550000,5,1784203866.735312,0.630000,0.042114,0.357886,prob_change_chase side=YES change=0.040 origin=0.510 ask=0.550
2934361,S55_RapidProbability_ChangeChase,NO,1784204119.695459,0.550000,5,1784204119.951621,0.550000,0.042114,-0.042114,prob_change_chase side=NO change=-0.060 origin=0.610 ask=0.550
2934379,S55_RapidProbability_ChangeChase,YES,1784204413.894748,0.670000,5,1784204421.752441,0.610000,0.040941,-0.340941,prob_change_chase side=YES change=0.040 origin=0.630 ask=0.670
2934391,S55_RapidProbability_ChangeChase,YES,1784204779.249235,0.630000,5,1784204787.549462,0.660000,0.042789,0.107211,prob_change_chase side=YES change=0.040 origin=0.590 ask=0.630
2934397,S55_RapidProbability_ChangeChase,YES,1784205005.430394,0.650000,5,1784205006.772093,0.640000,0.042052,-0.092052,prob_change_chase side=YES change=0.040 origin=0.610 ask=0.650
2934447,S55_RapidProbability_ChangeChase,YES,1784205302.325537,0.580000,5,1784205304.810715,0.510000,0.043022,-0.393022,prob_change_chase side=YES change=0.050 origin=0.530 ask=0.580
2934490,S55_RapidProbability_ChangeChase,NO,1784205625.937283,0.500000,5,1784205634.012111,0.410000,0.039062,-0.489063,prob_change_chase side=NO change=-0.050 origin=0.550 ask=0.500
2934493,S55_RapidProbability_ChangeChase,NO,1784205921.559419,0.550000,5,1784205929.682634,0.530000,0.042114,-0.142114,prob_change_chase side=NO change=-0.050 origin=0.600 ask=0.550
2934513,S55_RapidProbability_ChangeChase,NO,1784206214.905929,0.520000,5,1784206217.518024,0.570000,0.040495,0.209505,prob_change_chase side=NO change=-0.050 origin=0.570 ask=0.520
2934573,S55_RapidProbability_ChangeChase,NO,1784206524.312776,0.730000,5,1784206532.519061,0.660000,0.035449,-0.385449,prob_change_chase side=NO change=-0.040 origin=0.770 ask=0.730
2934577,S55_RapidProbability_ChangeChase,NO,1784206805.548762,0.510000,5,1784206809.027879,0.310000,0.039812,-1.039812,prob_change_chase side=NO change=-0.060 origin=0.570 ask=0.510
2934590,S55_RapidProbability_ChangeChase,YES,1784207118.815145,0.590000,5,1784207124.926329,0.550000,0.043155,-0.243155,prob_change_chase side=YES change=0.050 origin=0.540 ask=0.590
2934605,S55_RapidProbability_ChangeChase,YES,1784207433.123762,0.710000,5,1784207441.169435,0.740000,0.037625,0.112375,prob_change_chase side=YES change=0.050 origin=0.660 ask=0.710
2934623,S55_RapidProbability_ChangeChase,YES,1784207790.390942,0.660000,5,1784207798.626204,0.660000,0.041543,-0.041543,prob_change_chase side=YES change=0.040 origin=0.620 ask=0.660
2934636,S55_RapidProbability_ChangeChase,YES,1784208022.402819,0.620000,5,1784208024.769126,0.690000,0.043018,0.306982,prob_change_chase side=YES change=0.050 origin=0.570 ask=0.620
2934650,S55_RapidProbability_ChangeChase,NO,1784208310.889876,0.640000,5,1784208319.12452,0.630000,0.042467,-0.092467,prob_change_chase side=NO change=-0.040 origin=0.680 ask=0.640
2934730,S55_RapidProbability_ChangeChase,YES,1784208603.806369,0.650000,5,1784208604.294008,0.610000,0.042052,-0.242052,prob_change_chase side=YES change=0.040 origin=0.610 ask=0.650
2934777,S55_RapidProbability_ChangeChase,YES,1784208904.470759,0.500000,5,1784208907.788645,0.470000,0.039062,-0.189063,prob_change_chase side=YES change=0.060 origin=0.440 ask=0.500
2934814,S55_RapidProbability_ChangeChase,YES,1784209206.18241,0.550000,5,1784209210.559527,0.630000,0.042114,0.357886,prob_change_chase side=YES change=0.040 origin=0.510 ask=0.550
2934831,S55_RapidProbability_ChangeChase,YES,1784209506.765692,0.630000,5,1784209511.231654,0.630000,0.042789,-0.042789,prob_change_chase side=YES change=0.040 origin=0.590 ask=0.630
2934863,S55_RapidProbability_ChangeChase,NO,1784209806.050986,0.480000,5,1784209810.220666,0.450000,0.037380,-0.187380,prob_change_chase side=NO change=-0.050 origin=0.530 ask=0.480
2934877,S55_RapidProbability_ChangeChase,NO,1784210106.111082,0.540000,5,1784210107.396713,0.540000,0.041649,-0.041649,prob_change_chase side=NO change=-0.050 origin=0.590 ask=0.540
2934890,S55_RapidProbability_ChangeChase,YES,1784210404.525995,0.560000,5,1784210406.550123,0.550000,0.042499,-0.092499,prob_change_chase side=YES change=0.050 origin=0.510 ask=0.560
2934906,S55_RapidProbability_ChangeChase,YES,1784210709.264679,0.640000,5,1784210711.73722,0.580000,0.042467,-0.342467,prob_change_chase side=YES change=0.050 origin=0.590 ask=0.640
2934922,S55_RapidProbability_ChangeChase,YES,1784211012.659895,0.550000,5,1784211019.17217,0.490000,0.042114,-0.342114,prob_change_chase side=YES change=0.050 origin=0.500 ask=0.550
2934932,S55_RapidProbability_ChangeChase,NO,1784211324.290711,0.630000,5,1784211332.389395,0.600000,0.042789,-0.192789,prob_change_chase side=NO change=-0.040 origin=0.670 ask=0.630
