market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S66_SevenTrigger_ExitStack,YES,1784200839.586626,0.670000,5,1784200845.59693,0.720000,0.040941,0.209059,seven_trigger side=YES vel=0.0100 ask=0.670 delta=0.0236%
2933933,S66_SevenTrigger_ExitStack,NO,1784201495.522814,0.660000,5,1784201496.189309,0.660000,0.041543,-0.041543,seven_trigger side=NO vel=-0.0700 ask=0.660 delta=-0.0298%
2933981,S66_SevenTrigger_ExitStack,YES,1784201825.259411,0.700000,5,1784201825.792638,0.740000,0.038588,0.161413,seven_trigger side=YES vel=0.0200 ask=0.700 delta=0.0418%
2934021,S66_SevenTrigger_ExitStack,YES,1784202040.883491,0.680000,5,1784202054.257505,0.710000,0.040247,0.109753,seven_trigger side=YES vel=0.0100 ask=0.680 delta=0.0207%
2934041,S66_SevenTrigger_ExitStack,NO,1784202445.116846,0.680000,5,1784202447.633294,0.640000,0.040247,-0.240247,seven_trigger side=NO vel=-0.0300 ask=0.680 delta=-0.0248%
2934049,S66_SevenTrigger_ExitStack,NO,1784202632.95668,0.600000,5,1784202633.890894,0.600000,0.043200,-0.043200,seven_trigger side=NO vel=-0.0300 ask=0.600 delta=-0.0319%
2934267,S66_SevenTrigger_ExitStack,YES,1784202935.879874,0.630000,5,1784202936.683977,0.590000,0.042789,-0.242789,seven_trigger side=YES vel=0.0100 ask=0.630 delta=0.0221%
2934325,S66_SevenTrigger_ExitStack,NO,1784203216.389667,0.640000,5,1784203221.238309,0.620000,0.042467,-0.142467,seven_trigger side=NO vel=-0.0100 ask=0.640 delta=-0.0204%
2934344,S66_SevenTrigger_ExitStack,NO,1784203562.805898,0.640000,5,1784203567.028888,0.540000,0.042467,-0.542467,seven_trigger side=NO vel=-0.0300 ask=0.640 delta=-0.0263%
2934354,S66_SevenTrigger_ExitStack,YES,1784203867.009525,0.640000,5,1784203870.260857,0.620000,0.042467,-0.142467,seven_trigger side=YES vel=0.0300 ask=0.640 delta=0.0260%
2934361,S66_SevenTrigger_ExitStack,NO,1784204126.218522,0.700000,5,1784204129.200159,0.680000,0.038588,-0.138587,seven_trigger side=NO vel=-0.0200 ask=0.700 delta=-0.0599%
2934379,S66_SevenTrigger_ExitStack,YES,1784204420.416529,0.660000,5,1784204421.752441,0.610000,0.041543,-0.291543,seven_trigger side=YES vel=0.0100 ask=0.660 delta=0.0249%
2934391,S66_SevenTrigger_ExitStack,YES,1784204804.351275,0.680000,5,1784204810.589407,0.700000,0.040247,0.059753,seven_trigger side=YES vel=0.0100 ask=0.680 delta=0.0209%
2934397,S66_SevenTrigger_ExitStack,YES,1784205005.290964,0.650000,5,1784205006.772093,0.640000,0.042052,-0.092052,seven_trigger side=YES vel=0.0300 ask=0.650 delta=0.0245%
