market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933913,S69_Complementary_ExitDiscipline,YES,1784200839.586626,0.670000,5,1784200856.251375,0.760000,0.040941,0.409059,comp_exit_discipline side=YES ask=0.670 p_entry=1.000 delta=0.0236%
2933933,S69_Complementary_ExitDiscipline,NO,1784201495.522814,0.660000,5,1784201513.039239,0.680000,0.041543,0.058457,comp_exit_discipline side=NO ask=0.660 p_entry=1.000 delta=-0.0298%
2933981,S69_Complementary_ExitDiscipline,YES,1784201825.259411,0.700000,5,1784201841.245199,0.680000,0.038588,-0.138587,comp_exit_discipline side=YES ask=0.700 p_entry=1.000 delta=0.0418%
2934021,S69_Complementary_ExitDiscipline,YES,1784202040.883491,0.680000,5,1784202057.09219,0.700000,0.040247,0.059753,comp_exit_discipline side=YES ask=0.680 p_entry=1.000 delta=0.0207%
2934041,S69_Complementary_ExitDiscipline,NO,1784202445.116846,0.680000,5,1784202461.673058,0.650000,0.040247,-0.190247,comp_exit_discipline side=NO ask=0.680 p_entry=1.000 delta=-0.0248%
2934049,S69_Complementary_ExitDiscipline,NO,1784202632.95668,0.600000,5,1784202649.554924,0.470000,0.043200,-0.693200,comp_exit_discipline side=NO ask=0.600 p_entry=1.000 delta=-0.0319%
2934267,S69_Complementary_ExitDiscipline,YES,1784202935.879874,0.630000,5,1784202952.01483,0.570000,0.042789,-0.342789,comp_exit_discipline side=YES ask=0.630 p_entry=1.000 delta=0.0221%
2934325,S69_Complementary_ExitDiscipline,NO,1784203216.389667,0.640000,5,1784203233.975839,0.730000,0.042467,0.407533,comp_exit_discipline side=NO ask=0.640 p_entry=1.000 delta=-0.0204%
2934344,S69_Complementary_ExitDiscipline,NO,1784203562.805898,0.640000,5,1784203579.922899,0.550000,0.042467,-0.492467,comp_exit_discipline side=NO ask=0.640 p_entry=1.000 delta=-0.0263%
2934354,S69_Complementary_ExitDiscipline,YES,1784203867.009525,0.640000,5,1784203883.811559,0.590000,0.042467,-0.292467,comp_exit_discipline side=YES ask=0.640 p_entry=1.000 delta=0.0260%
2934361,S69_Complementary_ExitDiscipline,NO,1784204126.218522,0.700000,5,1784204143.493643,0.650000,0.038588,-0.288587,comp_exit_discipline side=NO ask=0.700 p_entry=1.000 delta=-0.0599%
2934379,S69_Complementary_ExitDiscipline,YES,1784204420.416529,0.660000,5,1784204436.940256,0.660000,0.041543,-0.041543,comp_exit_discipline side=YES ask=0.660 p_entry=1.000 delta=0.0249%
2934391,S69_Complementary_ExitDiscipline,YES,1784204804.351275,0.680000,5,1784204820.660098,0.730000,0.040247,0.209753,comp_exit_discipline side=YES ask=0.680 p_entry=1.000 delta=0.0209%
2934397,S69_Complementary_ExitDiscipline,YES,1784205005.290964,0.650000,5,1784205022.896102,0.470000,0.042052,-0.942052,comp_exit_discipline side=YES ask=0.650 p_entry=1.000 delta=0.0245%
2934490,S69_Complementary_ExitDiscipline,NO,1784205621.948849,0.560000,5,1784205631.401779,0.420000,0.042499,-0.742499,comp_exit_discipline side=NO ask=0.560 p_entry=1.000 delta=-0.0215%
2934493,S69_Complementary_ExitDiscipline,NO,1784205920.664675,0.590000,5,1784205936.750375,0.580000,0.043155,-0.093155,comp_exit_discipline side=NO ask=0.590 p_entry=1.000 delta=-0.0270%
2934513,S69_Complementary_ExitDiscipline,NO,1784206207.581689,0.570000,5,1784206224.115867,0.540000,0.042803,-0.192803,comp_exit_discipline side=NO ask=0.570 p_entry=1.000 delta=-0.0205%
2934573,S69_Complementary_ExitDiscipline,NO,1784206527.477778,0.690000,5,1784206543.857694,0.660000,0.039462,-0.189462,comp_exit_discipline side=NO ask=0.690 p_entry=1.000 delta=-0.0632%
2934577,S69_Complementary_ExitDiscipline,YES,1784206817.300165,0.640000,5,1784206835.391174,0.640000,0.042467,-0.042467,comp_exit_discipline side=YES ask=0.640 p_entry=1.000 delta=0.0324%
2934590,S69_Complementary_ExitDiscipline,YES,1784207122.722238,0.600000,5,1784207139.141268,0.600000,0.043200,-0.043200,comp_exit_discipline side=YES ask=0.600 p_entry=1.000 delta=0.0264%
2934605,S69_Complementary_ExitDiscipline,YES,1784207432.968564,0.670000,5,1784207449.324836,0.820000,0.040941,0.709059,comp_exit_discipline side=YES ask=0.670 p_entry=1.000 delta=0.0270%
2934623,S69_Complementary_ExitDiscipline,YES,1784207790.958024,0.670000,5,1784207807.488317,0.700000,0.040941,0.109059,comp_exit_discipline side=YES ask=0.670 p_entry=1.000 delta=0.0210%
2934636,S69_Complementary_ExitDiscipline,YES,1784208023.98889,0.650000,5,1784208040.660494,0.850000,0.042052,0.957948,comp_exit_discipline side=YES ask=0.650 p_entry=1.000 delta=0.0280%
2934650,S69_Complementary_ExitDiscipline,NO,1784208305.926129,0.700000,5,1784208322.792664,0.640000,0.038588,-0.338587,comp_exit_discipline side=NO ask=0.700 p_entry=1.000 delta=-0.0332%
2934730,S69_Complementary_ExitDiscipline,YES,1784208603.097204,0.670000,5,1784208621.234596,0.800000,0.040941,0.609059,comp_exit_discipline side=YES ask=0.670 p_entry=1.000 delta=0.0599%
2934777,S69_Complementary_ExitDiscipline,NO,1784208923.196502,0.600000,5,1784208926.191847,0.510000,0.043200,-0.493200,comp_exit_discipline side=NO ask=0.600 p_entry=1.000 delta=-0.0249%
2934814,S69_Complementary_ExitDiscipline,YES,1784209208.34988,0.590000,5,1784209225.436479,0.550000,0.043155,-0.243155,comp_exit_discipline side=YES ask=0.590 p_entry=1.000 delta=0.0360%
2934831,S69_Complementary_ExitDiscipline,YES,1784209505.579852,0.600000,5,1784209523.125137,0.760000,0.043200,0.756800,comp_exit_discipline side=YES ask=0.600 p_entry=1.000 delta=0.0251%
2934863,S69_Complementary_ExitDiscipline,YES,1784209821.274028,0.590000,5,1784209838.488334,0.680000,0.043155,0.406845,comp_exit_discipline side=YES ask=0.590 p_entry=1.000 delta=0.0233%
2934877,S69_Complementary_ExitDiscipline,NO,1784210105.155967,0.560000,5,1784210122.593598,0.590000,0.042499,0.107501,comp_exit_discipline side=NO ask=0.560 p_entry=1.000 delta=-0.0321%
2934890,S69_Complementary_ExitDiscipline,YES,1784210406.393239,0.600000,5,1784210424.568911,0.640000,0.043200,0.156800,comp_exit_discipline side=YES ask=0.600 p_entry=1.000 delta=0.0628%
2934906,S69_Complementary_ExitDiscipline,YES,1784210703.539085,0.580000,5,1784210721.058858,0.650000,0.043022,0.306978,comp_exit_discipline side=YES ask=0.580 p_entry=1.000 delta=0.0203%
2934922,S69_Complementary_ExitDiscipline,YES,1784211014.859517,0.570000,5,1784211028.561341,0.430000,0.042803,-0.742803,comp_exit_discipline side=YES ask=0.570 p_entry=1.000 delta=0.0360%
2934932,S69_Complementary_ExitDiscipline,NO,1784211316.582993,0.690000,5,1784211333.231285,0.580000,0.039462,-0.589462,comp_exit_discipline side=NO ask=0.690 p_entry=1.000 delta=-0.0634%
2934949,S69_Complementary_ExitDiscipline,NO,1784211609.281557,0.620000,5,1784211626.428126,0.780000,0.043018,0.756982,comp_exit_discipline side=NO ask=0.620 p_entry=1.000 delta=-0.0272%
2934961,S69_Complementary_ExitDiscipline,NO,1784211906.225029,0.660000,5,1784211922.830973,0.640000,0.041543,-0.141543,comp_exit_discipline side=NO ask=0.660 p_entry=1.000 delta=-0.0525%
2934977,S69_Complementary_ExitDiscipline,YES,1784212207.809293,0.570000,5,1784212225.051414,0.640000,0.042803,0.307197,comp_exit_discipline side=YES ask=0.570 p_entry=1.000 delta=0.0329%
2935023,S69_Complementary_ExitDiscipline,YES,1784212527.602055,0.620000,5,1784212543.623288,0.640000,0.043018,0.056982,comp_exit_discipline side=YES ask=0.620 p_entry=1.000 delta=0.0265%
2935037,S69_Complementary_ExitDiscipline,NO,1784212833.163814,0.610000,5,1784212847.046905,0.430000,0.043155,-0.943155,comp_exit_discipline side=NO ask=0.610 p_entry=1.000 delta=-0.0300%
2935060,S69_Complementary_ExitDiscipline,NO,1784213110.182827,0.580000,5,1784213114.04702,0.470000,0.043022,-0.593022,comp_exit_discipline side=NO ask=0.580 p_entry=1.000 delta=-0.0234%
2935061,S69_Complementary_ExitDiscipline,NO,1784213409.872816,0.580000,5,1784213426.574454,0.660000,0.043022,0.356978,comp_exit_discipline side=NO ask=0.580 p_entry=1.000 delta=-0.0308%
2935086,S69_Complementary_ExitDiscipline,NO,1784213710.70122,0.670000,5,1784213727.206707,0.720000,0.040941,0.209059,comp_exit_discipline side=NO ask=0.670 p_entry=1.000 delta=-0.0247%
2935087,S69_Complementary_ExitDiscipline,YES,1784214004.186251,0.590000,5,1784214018.235666,0.460000,0.043155,-0.693155,comp_exit_discipline side=YES ask=0.590 p_entry=0.999 delta=0.0219%
2935106,S69_Complementary_ExitDiscipline,NO,1784214312.91489,0.690000,5,1784214330.189934,0.660000,0.039462,-0.189462,comp_exit_discipline side=NO ask=0.690 p_entry=1.000 delta=-0.0794%
2935124,S69_Complementary_ExitDiscipline,YES,1784214622.897482,0.670000,5,1784214639.60089,0.530000,0.040941,-0.740941,comp_exit_discipline side=YES ask=0.670 p_entry=1.000 delta=0.0390%
2935166,S69_Complementary_ExitDiscipline,YES,1784214905.598791,0.620000,5,1784214916.380264,0.520000,0.043018,-0.543018,comp_exit_discipline side=YES ask=0.620 p_entry=1.000 delta=0.0403%
2935175,S69_Complementary_ExitDiscipline,NO,1784215230.227848,0.580000,5,1784215234.486362,0.490000,0.043022,-0.493022,comp_exit_discipline side=NO ask=0.580 p_entry=1.000 delta=-0.0208%
2935185,S69_Complementary_ExitDiscipline,YES,1784215512.918314,0.630000,5,1784215529.024164,0.670000,0.042789,0.157211,comp_exit_discipline side=YES ask=0.630 p_entry=1.000 delta=0.0348%
2935211,S69_Complementary_ExitDiscipline,NO,1784215820.81123,0.690000,5,1784215836.997612,0.730000,0.039462,0.160538,comp_exit_discipline side=NO ask=0.690 p_entry=1.000 delta=-0.0632%
2935252,S69_Complementary_ExitDiscipline,NO,1784216110.806117,0.580000,5,1784216126.667187,0.600000,0.043022,0.056978,comp_exit_discipline side=NO ask=0.580 p_entry=1.000 delta=-0.0215%
2935260,S69_Complementary_ExitDiscipline,NO,1784216432.921606,0.680000,5,1784216449.002425,0.690000,0.040247,0.009753,comp_exit_discipline side=NO ask=0.680 p_entry=1.000 delta=-0.0327%
2935273,S69_Complementary_ExitDiscipline,NO,1784216728.018696,0.700000,5,1784216743.742439,0.780000,0.038588,0.361413,comp_exit_discipline side=NO ask=0.700 p_entry=1.000 delta=-0.0483%
2935293,S69_Complementary_ExitDiscipline,YES,1784217019.843629,0.610000,5,1784217035.883197,0.550000,0.043155,-0.343155,comp_exit_discipline side=YES ask=0.610 p_entry=1.000 delta=0.0228%
2935486,S69_Complementary_ExitDiscipline,NO,1784217326.104474,0.660000,5,1784217342.085698,0.720000,0.041543,0.258457,comp_exit_discipline side=NO ask=0.660 p_entry=1.000 delta=-0.0625%
2935536,S69_Complementary_ExitDiscipline,NO,1784217670.316583,0.610000,5,1784217686.788012,0.690000,0.043155,0.356845,comp_exit_discipline side=NO ask=0.610 p_entry=1.000 delta=-0.0224%
2935547,S69_Complementary_ExitDiscipline,NO,1784217905.275083,0.570000,5,1784217921.387682,0.650000,0.042803,0.357197,comp_exit_discipline side=NO ask=0.570 p_entry=1.000 delta=-0.0304%
2935556,S69_Complementary_ExitDiscipline,NO,1784218226.240418,0.700000,5,1784218242.245665,0.710000,0.038588,0.011412,comp_exit_discipline side=NO ask=0.700 p_entry=1.000 delta=-0.0680%
2935578,S69_Complementary_ExitDiscipline,NO,1784218511.684545,0.640000,5,1784218527.774856,0.680000,0.042467,0.157533,comp_exit_discipline side=NO ask=0.640 p_entry=1.000 delta=-0.0424%
2935583,S69_Complementary_ExitDiscipline,NO,1784218880.204251,0.700000,5,1784218896.343395,0.700000,0.038588,-0.038588,comp_exit_discipline side=NO ask=0.700 p_entry=1.000 delta=-0.0645%
2935593,S69_Complementary_ExitDiscipline,YES,1784219134.129091,0.610000,5,1784219150.451086,0.730000,0.043155,0.556845,comp_exit_discipline side=YES ask=0.610 p_entry=1.000 delta=0.0220%
2935604,S69_Complementary_ExitDiscipline,YES,1784219406.858567,0.570000,5,1784219423.31732,0.630000,0.042803,0.257197,comp_exit_discipline side=YES ask=0.570 p_entry=1.000 delta=0.0214%
2935659,S69_Complementary_ExitDiscipline,NO,1784219733.918086,0.680000,5,1784219749.708384,0.710000,0.040247,0.109753,comp_exit_discipline side=NO ask=0.680 p_entry=1.000 delta=-0.0427%
