market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2933933,S21_WindowDelta_Purist,NO,1784201694.906732,0.060000,10,1784201699.898366,0.000000,0.000477,-0.600477,delta=-0.0120% at T-5.0s
2933981,S21_WindowDelta_Purist,YES,1784201995.018998,0.980000,5,1784201999.989534,1.000000,0.000471,0.099529,delta=0.0189% at T-5.0s
2934344,S21_WindowDelta_Purist,NO,1784203794.889444,0.710000,5,1784203799.905116,0.000000,0.037625,-3.587625,delta=-0.0392% at T-5.0s
2934354,S21_WindowDelta_Purist,NO,1784204094.89128,0.990000,5,1784204099.889787,1.000000,0.000121,0.049879,delta=-0.0192% at T-5.0s
2934577,S21_WindowDelta_Purist,YES,1784207094.907639,0.960000,5,1784207099.947875,1.000000,0.001769,0.198231,delta=0.0164% at T-5.0s
2934623,S21_WindowDelta_Purist,YES,1784207994.988148,0.980000,5,1784207999.954737,1.000000,0.000471,0.099529,delta=0.0098% at T-5.0s
2934777,S21_WindowDelta_Purist,NO,1784209195.012326,0.980000,5,1784209199.984145,1.000000,0.000471,0.099529,delta=-0.0161% at T-5.0s
2935087,S21_WindowDelta_Purist,NO,1784214294.884841,0.990000,5,1784214299.861777,1.000000,0.000121,0.049879,delta=-0.0359% at T-5.0s
2935273,S21_WindowDelta_Purist,YES,1784216995.008269,0.990000,5,1784216999.951163,1.000000,0.000121,0.049879,delta=0.0293% at T-4.9s
2935293,S21_WindowDelta_Purist,YES,1784217295.041133,0.870000,5,1784217299.997166,0.000000,0.013911,-4.363911,delta=0.0053% at T-5.0s
2935547,S21_WindowDelta_Purist,NO,1784218194.964525,0.520000,5,1784218199.920624,1.000000,0.040495,2.359505,delta=-0.0122% at T-5.0s
2936247,S21_WindowDelta_Purist,YES,1784221194.998966,0.990000,5,1784221199.945146,1.000000,0.000121,0.049879,delta=0.0171% at T-4.9s
2936368,S21_WindowDelta_Purist,YES,1784222695.052876,0.930000,5,1784222700.001951,1.000000,0.004927,0.345073,delta=0.0137% at T-4.9s
2936613,S21_WindowDelta_Purist,NO,1784224194.856989,0.950000,5,1784224199.893499,1.000000,0.002679,0.247321,delta=-0.0151% at T-5.0s
2936666,S21_WindowDelta_Purist,YES,1784225094.923934,0.980000,5,1784225099.877007,1.000000,0.000471,0.099529,delta=0.0288% at T-5.0s
2937288,S21_WindowDelta_Purist,NO,1784228394.890906,0.990000,5,1784228399.898124,1.000000,0.000121,0.049879,delta=-0.0170% at T-5.0s
2937410,S21_WindowDelta_Purist,NO,1784229594.900596,0.990000,5,1784229599.891282,1.000000,0.000121,0.049879,delta=-0.0148% at T-5.0s
2937452,S21_WindowDelta_Purist,NO,1784230494.918432,0.990000,5,1784230499.948483,1.000000,0.000121,0.049879,delta=-0.0266% at T-5.0s
2937491,S21_WindowDelta_Purist,NO,1784230794.871779,0.950000,5,1784230799.931368,1.000000,0.002679,0.247321,delta=-0.0108% at T-5.1s
2937638,S21_WindowDelta_Purist,YES,1784231994.854597,0.890000,5,1784231999.911824,1.000000,0.010663,0.539337,delta=0.0064% at T-5.1s
2937736,S21_WindowDelta_Purist,NO,1784233795.007876,0.990000,5,1784233800.001427,1.000000,0.000121,0.049879,delta=-0.0131% at T-5.0s
2937751,S21_WindowDelta_Purist,YES,1784234094.948324,0.990000,5,1784234099.896142,1.000000,0.000121,0.049879,delta=0.0149% at T-4.9s
2937834,S21_WindowDelta_Purist,YES,1784234994.958315,0.990000,5,1784234999.944452,1.000000,0.000121,0.049879,delta=0.0133% at T-5.0s
2937859,S21_WindowDelta_Purist,YES,1784235594.902933,0.370000,5,1784235599.968562,0.000000,0.025130,-1.875130,delta=0.0183% at T-5.1s
2937934,S21_WindowDelta_Purist,YES,1784237394.995339,0.970000,5,1784237399.947107,1.000000,0.001027,0.148973,delta=0.0056% at T-5.0s
2937993,S21_WindowDelta_Purist,YES,1784237994.966637,0.980000,5,1784238000.002433,1.000000,0.000471,0.099529,delta=0.0475% at T-5.0s
2938034,S21_WindowDelta_Purist,NO,1784238894.958187,0.300000,5,1784238899.932675,1.000000,0.016537,3.483462,delta=-0.0107% at T-5.0s
2938435,S21_WindowDelta_Purist,NO,1784239795.009453,0.950000,5,1784239799.963544,1.000000,0.002679,0.247321,delta=-0.0173% at T-5.0s
2938439,S21_WindowDelta_Purist,NO,1784240094.984022,0.300000,5,1784240099.957255,0.000000,0.016537,-1.516538,delta=-0.0084% at T-5.0s
2938530,S21_WindowDelta_Purist,YES,1784241594.932457,0.970000,5,1784241599.919446,1.000000,0.001027,0.148973,delta=0.0088% at T-5.0s
2940896,S21_WindowDelta_Purist,NO,1784243694.951145,0.980000,5,1784243699.923379,1.000000,0.000471,0.099529,delta=-0.0273% at T-5.0s
2940986,S21_WindowDelta_Purist,NO,1784245195.01959,0.970000,5,1784245199.984047,1.000000,0.001027,0.148973,delta=-0.0183% at T-5.0s
2941053,S21_WindowDelta_Purist,NO,1784246694.932865,0.980000,5,1784246699.922803,1.000000,0.000471,0.099529,delta=-0.0440% at T-5.0s
2941252,S21_WindowDelta_Purist,NO,1784249694.960583,0.880000,5,1784249699.948754,1.000000,0.012266,0.587734,delta=-0.0074% at T-5.0s
2941761,S21_WindowDelta_Purist,YES,1784251494.950835,0.970000,5,1784251499.988085,1.000000,0.001027,0.148973,delta=0.0069% at T-5.0s
2941937,S21_WindowDelta_Purist,YES,1784255395.020432,0.990000,5,1784255399.991291,0.000000,0.000121,-4.950121,delta=0.0155% at T-5.0s
2942033,S21_WindowDelta_Purist,NO,1784256594.986325,0.990000,5,1784256599.994121,1.000000,0.000121,0.049879,delta=-0.0326% at T-5.0s
2942165,S21_WindowDelta_Purist,NO,1784258094.996919,0.620000,5,1784258099.976137,1.000000,0.043018,1.856982,delta=-0.0065% at T-5.0s
2942197,S21_WindowDelta_Purist,YES,1784258994.926579,0.980000,5,1784258999.907801,1.000000,0.000471,0.099529,delta=0.0171% at T-5.0s
2942217,S21_WindowDelta_Purist,YES,1784259294.940407,0.990000,5,1784259299.987017,1.000000,0.000121,0.049879,delta=0.0162% at T-5.0s
2942263,S21_WindowDelta_Purist,NO,1784259595.029415,0.830000,5,1784259599.99159,1.000000,0.020656,0.829344,delta=-0.0532% at T-5.0s
2942303,S21_WindowDelta_Purist,YES,1784260494.973539,0.990000,5,1784260499.966943,1.000000,0.000121,0.049879,delta=0.0275% at T-5.0s
2942708,S21_WindowDelta_Purist,NO,1784261695.027511,0.990000,5,1784261700.003541,1.000000,0.000121,0.049879,delta=-0.0102% at T-5.0s
2942801,S21_WindowDelta_Purist,NO,1784262594.858503,0.990000,5,1784262599.905953,1.000000,0.000121,0.049879,delta=-0.0236% at T-5.0s
2943257,S21_WindowDelta_Purist,NO,1784264395.02414,0.990000,5,1784264399.986432,1.000000,0.000121,0.049879,delta=-0.0204% at T-5.0s
2943481,S21_WindowDelta_Purist,YES,1784265294.942097,0.990000,5,1784265299.995107,1.000000,0.000121,0.049879,delta=0.0192% at T-5.1s
