market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2934977,S23_DualOracle_Winner,YES,1784212494.95475,0.500000,5,1784212499.981085,0.000000,0.039062,-2.539062,edge=0.492 p=1.000 ask=0.500
2935293,S23_DualOracle_Winner,YES,1784217294.883389,0.870000,5,1784217299.997166,0.000000,0.013911,-4.363911,edge=0.127 p=1.000 ask=0.870
2936368,S23_DualOracle_Winner,YES,1784222694.928782,0.930000,5,1784222700.001951,1.000000,0.004927,0.345073,edge=0.069 p=1.000 ask=0.930
2937159,S23_DualOracle_Winner,YES,1784227494.846681,0.710000,5,1784227499.934495,1.000000,0.037625,1.412375,edge=0.282 p=1.000 ask=0.710
2937638,S23_DualOracle_Winner,YES,1784231994.854597,0.890000,5,1784231999.911824,1.000000,0.010663,0.539337,edge=0.108 p=1.000 ask=0.890
2937826,S23_DualOracle_Winner,YES,1784234694.830852,0.920000,5,1784234699.893131,0.000000,0.006230,-4.606230,edge=0.079 p=1.000 ask=0.920
2937859,S23_DualOracle_Winner,YES,1784235594.902933,0.370000,5,1784235599.968562,0.000000,0.025130,-1.875130,edge=0.625 p=1.000 ask=0.370
2938872,S23_DualOracle_Winner,YES,1784242794.933001,0.790000,5,1784242799.981394,1.000000,0.027179,1.022821,edge=0.205 p=1.000 ask=0.790
2941006,S23_DualOracle_Winner,YES,1784245794.989965,0.870000,5,1784245800.000239,1.000000,0.013911,0.636089,edge=0.127 p=1.000 ask=0.870
2942458,S23_DualOracle_Winner,YES,1784260794.89222,0.870000,5,1784260799.932101,1.000000,0.013911,0.636089,edge=0.127 p=1.000 ask=0.870
2942694,S23_DualOracle_Winner,YES,1784261394.901287,0.750000,5,1784261399.943301,0.000000,0.032959,-3.782959,edge=0.243 p=1.000 ask=0.750
2946899,S23_DualOracle_Winner,YES,1784300394.904141,0.740000,5,1784300399.940893,1.000000,0.034241,1.265759,edge=0.253 p=1.000 ask=0.740
2947461,S23_DualOracle_Winner,YES,1784304894.914772,0.400000,5,1784304899.99983,1.000000,0.028800,2.971200,edge=0.594 p=1.000 ask=0.400
2950647,S23_DualOracle_Winner,YES,1784314494.854835,0.880000,5,1784314499.889078,1.000000,0.012266,0.587734,edge=0.118 p=1.000 ask=0.880
2950871,S23_DualOracle_Winner,YES,1784315994.783438,0.310000,5,1784315999.909768,0.000000,0.017729,-1.567729,edge=0.686 p=1.000 ask=0.310
2951103,S23_DualOracle_Winner,YES,1784319894.877657,0.910000,5,1784319899.984519,1.000000,0.007630,0.442370,edge=0.088 p=1.000 ask=0.910
2951166,S23_DualOracle_Winner,YES,1784320194.804815,0.420000,5,1784320199.932774,0.000000,0.031154,-2.131154,edge=0.574 p=1.000 ask=0.420
2951467,S23_DualOracle_Winner,YES,1784322894.956822,0.690000,5,1784322899.961257,1.000000,0.039462,1.510538,edge=0.302 p=1.000 ask=0.690
2951645,S23_DualOracle_Winner,YES,1784324694.872447,0.890000,5,1784324699.943602,1.000000,0.010663,0.539337,edge=0.108 p=1.000 ask=0.890
2953577,S23_DualOracle_Winner,YES,1784332494.930364,0.900000,5,1784332499.991691,1.000000,0.009112,0.490888,edge=0.098 p=1.000 ask=0.900
2953679,S23_DualOracle_Winner,YES,1784333094.835247,0.050000,20,1784333099.944628,0.000000,0.000564,-1.000564,edge=0.950 p=1.000 ask=0.050
