market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
3702353.json,S32_MOMENTUM_Mode,NO,1787158517.250423,0.440000,5,1787158817.471195,1.000000,0.033392,2.766608,momentum vel=-0.070 delta=-0.0918% sustain=3
3702354.json,S32_MOMENTUM_Mode,NO,1787158503.422472,0.240000,5,1787158802.933142,1.000000,0.009981,3.790019,momentum vel=-0.270 delta=-0.0947% sustain=3
3702357.json,S32_MOMENTUM_Mode,NO,1787158510.314327,0.330000,5,1787158810.42924,1.000000,0.020165,3.329835,momentum vel=-0.175 delta=-0.1151% sustain=3
3702432.json,S32_MOMENTUM_Mode,NO,1787158849.298857,0.390000,5,1787159076.238409,1.000000,0.027591,3.022409,momentum vel=-0.115 delta=-0.3016% sustain=3
3702446.json,S32_MOMENTUM_Mode,NO,1787159351.265116,0.450000,5,1787159697.418102,1.000000,0.034457,2.715543,momentum vel=-0.060 delta=-0.4405% sustain=3
3702613.json,S32_MOMENTUM_Mode,NO,1787160007.31183,0.430000,5,1787160290.094218,1.000000,0.032290,2.817710,momentum vel=-0.070 delta=-0.4359% sustain=3
3702617.json,S32_MOMENTUM_Mode,NO,1787160107.652035,0.440000,5,1787160577.895232,1.000000,0.033392,2.766608,momentum vel=-0.060 delta=-0.4391% sustain=3
3702621.json,S32_MOMENTUM_Mode,NO,1787159934.271213,0.480000,5,1787160309.400553,1.000000,0.037380,2.562620,momentum vel=-0.025 delta=-0.4110% sustain=3
3702646.json,S32_MOMENTUM_Mode,NO,1787160591.314517,0.450000,5,1787160872.704334,1.000000,0.034457,2.715543,momentum vel=-0.155 delta=-0.4424% sustain=3
3702651.json,S32_MOMENTUM_Mode,NO,1787160619.53356,0.230000,5,1787160853.043011,1.000000,0.009017,3.840983,momentum vel=-0.270 delta=-0.3722% sustain=3
3703527.json,S32_MOMENTUM_Mode,YES,1787163596.009076,0.640000,5,1787163878.252785,1.000000,0.042467,1.757533,momentum vel=0.030 delta=0.1908% sustain=3
3703794.json,S32_MOMENTUM_Mode,YES,1787164194.883516,0.580000,5,1787164479.245502,1.000000,0.043022,2.056978,momentum vel=0.070 delta=0.1658% sustain=3
3703798.json,S32_MOMENTUM_Mode,YES,1787164201.216525,0.610000,5,1787164485.675013,1.000000,0.043155,1.906845,momentum vel=0.050 delta=0.0954% sustain=3
3705961.json,S32_MOMENTUM_Mode,YES,1787164871.947674,0.730000,5,1787165102.040388,1.000000,0.035449,1.314551,momentum vel=0.210 delta=0.0806% sustain=3
3707368.json,S32_MOMENTUM_Mode,YES,1787165762.078212,0.580000,5,1787165995.814538,1.000000,0.043022,2.056978,momentum vel=0.070 delta=0.0835% sustain=3
