market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
3702411.json,S39_Cross_Window_Momentum_Continuation,NO,1787159032.518933,0.490000,5,1787159374.700233,1.000000,0.038251,2.511749,cross_momentum sv=-0.015 lv=-0.015
3702413.json,S39_Cross_Window_Momentum_Continuation,NO,1787159039.373115,0.490000,5,1787159381.817854,1.000000,0.038251,2.511749,cross_momentum sv=-0.015 lv=-0.015
3702418.json,S39_Cross_Window_Momentum_Continuation,NO,1787159138.876795,0.330000,5,1787159367.373327,1.000000,0.020165,3.329835,cross_momentum sv=-0.170 lv=-0.170
3702421.json,S39_Cross_Window_Momentum_Continuation,NO,1787158818.058233,0.490000,5,1787159084.263242,1.000000,0.038251,2.511749,cross_momentum sv=-0.020 lv=-0.020
3702427.json,S39_Cross_Window_Momentum_Continuation,NO,1787158766.036933,0.490000,5,1787159069.360378,1.000000,0.038251,2.511749,cross_momentum sv=-0.020 lv=-0.020
3702433.json,S39_Cross_Window_Momentum_Continuation,NO,1787158970.717425,0.480000,5,1787159388.854959,1.000000,0.037380,2.562620,cross_momentum sv=-0.025 lv=-0.020
3702434.json,S39_Cross_Window_Momentum_Continuation,NO,1787158759.02492,0.480000,5,1787159062.525867,1.000000,0.037380,2.562620,cross_momentum sv=-0.020 lv=-0.020
3702446.json,S39_Cross_Window_Momentum_Continuation,NO,1787159275.907953,0.480000,5,1787159697.418102,1.000000,0.037380,2.562620,cross_momentum sv=-0.025 lv=-0.020
3702448.json,S39_Cross_Window_Momentum_Continuation,NO,1787159724.625157,0.380000,5,1787159960.518769,1.000000,0.026366,3.073634,cross_momentum sv=-0.120 lv=-0.120
3702449.json,S39_Cross_Window_Momentum_Continuation,NO,1787159375.346345,0.480000,5,1787159684.576476,1.000000,0.037380,2.562620,cross_momentum sv=-0.020 lv=-0.025
3702456.json,S39_Cross_Window_Momentum_Continuation,NO,1787159543.718514,0.480000,5,1787159967.091653,1.000000,0.037380,2.562620,cross_momentum sv=-0.025 lv=-0.020
3702459.json,S39_Cross_Window_Momentum_Continuation,NO,1787159556.914707,0.490000,5,1787159979.869268,1.000000,0.038251,2.511749,cross_momentum sv=-0.020 lv=-0.015
3702462.json,S39_Cross_Window_Momentum_Continuation,NO,1787159406.033488,0.300000,5,1787159678.259154,1.000000,0.016537,3.483462,cross_momentum sv=-0.200 lv=-0.200
3702463.json,S39_Cross_Window_Momentum_Continuation,NO,1787159382.398947,0.450000,5,1787159690.963407,1.000000,0.034457,2.715543,cross_momentum sv=-0.070 lv=-0.070
