market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
3702446.json,S48_VelocityFlip_Reversal,YES,1787159122.567759,0.510000,5,1787159697.418102,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.1138% current=0.0467%
3702448.json,S48_VelocityFlip_Reversal,NO,1787159331.364537,0.500000,5,1787159960.518769,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0745% current=-0.3084%
3702449.json,S48_VelocityFlip_Reversal,YES,1787159108.837167,0.510000,5,1787159684.576476,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.0627% current=0.0569%
3702454.json,S48_VelocityFlip_Reversal,NO,1787159345.049475,0.510000,5,1787159973.430993,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0760% current=-0.2221%
3702456.json,S48_VelocityFlip_Reversal,NO,1787159300.455849,0.510000,5,1787159967.091653,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0628% current=-0.1987%
3702459.json,S48_VelocityFlip_Reversal,NO,1787159314.218637,0.520000,5,1787159979.869268,1.000000,0.040495,2.359505,velocity_flip side=NO prior=0.0512% current=-0.2148%
3702462.json,S48_VelocityFlip_Reversal,YES,1787159139.457357,0.510000,5,1787159678.259154,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.1006% current=0.0744%
3702463.json,S48_VelocityFlip_Reversal,YES,1787159115.74915,0.510000,5,1787159690.963407,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.0715% current=0.0423%
3702613.json,S48_VelocityFlip_Reversal,YES,1787159586.263426,0.510000,5,1787160290.094218,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.3086% current=0.1858%
3702614.json,S48_VelocityFlip_Reversal,YES,1787159599.271173,0.510000,5,1787160303.006078,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.1974% current=0.1082%
3702615.json,S48_VelocityFlip_Reversal,NO,1787159981.084923,0.510000,5,1787160590.703054,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.1171% current=-0.3586%
3702617.json,S48_VelocityFlip_Reversal,NO,1787159968.240714,0.500000,5,1787160577.895232,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0527% current=-0.2928%
3702619.json,S48_VelocityFlip_Reversal,NO,1787159974.555377,0.510000,5,1787160584.300276,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0805% current=-0.3206%
3702621.json,S48_VelocityFlip_Reversal,YES,1787159557.499802,0.520000,5,1787160309.400553,0.000000,0.040495,-2.640495,velocity_flip side=YES prior=-0.2150% current=0.0819%
3702622.json,S48_VelocityFlip_Reversal,NO,1787159961.732017,0.500000,5,1787160571.491261,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0556% current=-0.2372%
3702623.json,S48_VelocityFlip_Reversal,YES,1787159592.854716,0.510000,5,1787160296.529083,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.2997% current=0.1769%
3702713.json,S48_VelocityFlip_Reversal,YES,1787160579.046952,0.510000,5,1787161185.58673,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.1749% current=0.1043%
3702715.json,S48_VelocityFlip_Reversal,YES,1787160572.708491,0.510000,5,1787161179.133769,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.1689% current=0.0911%
3702717.json,S48_VelocityFlip_Reversal,YES,1787160585.480505,0.510000,5,1787161192.120218,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.2000% current=0.1206%
3702718.json,S48_VelocityFlip_Reversal,YES,1787160591.861212,0.520000,5,1787161198.461157,1.000000,0.040495,2.359505,velocity_flip side=YES prior=-0.2147% current=0.1191%
3703062.json,S48_VelocityFlip_Reversal,NO,1787160818.286307,0.510000,5,1787161471.604123,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.1193% current=-0.1738%
3703063.json,S48_VelocityFlip_Reversal,NO,1787160804.961864,0.500000,5,1787161457.714912,0.000000,0.039062,-2.539062,velocity_flip side=NO prior=0.1134% current=-0.1635%
3703066.json,S48_VelocityFlip_Reversal,NO,1787160811.81846,0.500000,5,1787161465.077621,0.000000,0.039062,-2.539062,velocity_flip side=NO prior=0.1046% current=-0.1414%
3703067.json,S48_VelocityFlip_Reversal,NO,1787160824.790577,0.510000,5,1787161478.584813,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.1193% current=-0.1340%
3703076.json,S48_VelocityFlip_Reversal,YES,1787161086.089173,0.510000,5,1787161784.492494,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.1177% current=0.0971%
3703134.json,S48_VelocityFlip_Reversal,NO,1787161940.874521,0.510000,5,1787162406.706051,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.2882% current=-0.0368%
3703146.json,S48_VelocityFlip_Reversal,NO,1787161947.548897,0.510000,5,1787162414.096322,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.3161% current=-0.0867%
3703186.json,S48_VelocityFlip_Reversal,NO,1787161974.849611,0.500000,5,1787162680.89065,0.000000,0.039062,-2.539062,velocity_flip side=NO prior=0.2720% current=-0.0706%
3703195.json,S48_VelocityFlip_Reversal,NO,1787161981.413378,0.510000,5,1787162687.246248,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.2632% current=-0.0603%
3703198.json,S48_VelocityFlip_Reversal,YES,1787162181.278261,0.510000,5,1787162700.328586,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.0735% current=0.0691%
3703202.json,S48_VelocityFlip_Reversal,NO,1787162415.263611,0.510000,5,1787162983.513438,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0689% current=-0.0675%
3703204.json,S48_VelocityFlip_Reversal,NO,1787162497.662846,0.510000,5,1787162970.701499,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0660% current=-0.0719%
3703206.json,S48_VelocityFlip_Reversal,NO,1787162441.47527,0.500000,5,1787162964.308094,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0792% current=-0.0367%
3703208.json,S48_VelocityFlip_Reversal,NO,1787162454.555255,0.500000,5,1787162977.18669,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0689% current=-0.0337%
3703489.json,S48_VelocityFlip_Reversal,NO,1787162830.560966,0.510000,5,1787163300.125655,1.000000,0.039812,2.410188,velocity_flip side=NO prior=0.0616% current=-0.1320%
3703494.json,S48_VelocityFlip_Reversal,NO,1787162824.075086,0.500000,5,1787163293.685209,1.000000,0.039062,2.460938,velocity_flip side=NO prior=0.0660% current=-0.1203%
3703521.json,S48_VelocityFlip_Reversal,YES,1787163209.346468,0.510000,5,1787163865.023884,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.1731% current=0.1629%
3703526.json,S48_VelocityFlip_Reversal,YES,1787163215.616071,0.510000,5,1787163871.837069,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.1468% current=0.1850%
3703527.json,S48_VelocityFlip_Reversal,YES,1787163221.851183,0.510000,5,1787163878.252785,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.1497% current=0.1894%
3703528.json,S48_VelocityFlip_Reversal,YES,1787163202.821435,0.510000,5,1787163858.542184,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.1438% current=0.1320%
3703791.json,S48_VelocityFlip_Reversal,NO,1787163859.703569,0.500000,5,1787164472.676348,0.000000,0.039062,-2.539062,velocity_flip side=NO prior=0.1320% current=-0.0954%
3703794.json,S48_VelocityFlip_Reversal,NO,1787163866.184833,0.510000,5,1787164479.245502,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.1232% current=-0.0983%
3703798.json,S48_VelocityFlip_Reversal,NO,1787163872.961631,0.510000,5,1787164485.675013,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.1203% current=-0.0660%
3703803.json,S48_VelocityFlip_Reversal,NO,1787163879.437007,0.510000,5,1787164492.115432,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.1114% current=-0.0645%
3703873.json,S48_VelocityFlip_Reversal,YES,1787164098.538856,0.510000,5,1787164761.108098,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.0981% current=0.0425%
3703877.json,S48_VelocityFlip_Reversal,YES,1787164091.951251,0.510000,5,1787164754.662062,0.000000,0.039812,-2.589812,velocity_flip side=YES prior=-0.0937% current=0.0469%
3705958.json,S48_VelocityFlip_Reversal,YES,1787164437.641251,0.510000,5,1787165095.552026,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.0586% current=0.0352%
3705961.json,S48_VelocityFlip_Reversal,YES,1787164444.27492,0.510000,5,1787165102.040388,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.0645% current=0.0381%
3705962.json,S48_VelocityFlip_Reversal,YES,1787164521.182333,0.510000,5,1787165082.269452,1.000000,0.039812,2.410188,velocity_flip side=YES prior=-0.0762% current=0.0850%
3706055.json,S48_VelocityFlip_Reversal,NO,1787164755.836688,0.500000,5,1787165369.008888,0.000000,0.039062,-2.539062,velocity_flip side=NO prior=0.0850% current=-0.0352%
3706058.json,S48_VelocityFlip_Reversal,NO,1787164762.328097,0.510000,5,1787165375.532783,0.000000,0.039812,-2.589812,velocity_flip side=NO prior=0.0659% current=-0.0542%
